#: table_doi: 10.17182/hepdata.78802.v1/t42
#: name: Table 42
#: description: Multiplicity distribution in the pseudorapidity region -2.4 to 2.4 for INEL>0 collisions at a centre-of-mass energy of 8000 GeV.
#: data_file: Table42.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 8000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-2.4-2.4
#: SQRT(S) [GeV],,,8000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
1.0,0.5,1.5,0.01645,0.003599,-0.003599
2.0,1.5,2.5,0.01606,0.002526,-0.002526
3.0,2.5,3.5,0.01651,0.002111,-0.002111
4.0,3.5,4.5,0.01856,0.002199,-0.002199
5.0,4.5,5.5,0.022,0.00249,-0.00249
6.0,5.5,6.5,0.02454,0.002593,-0.002593
7.0,6.5,7.5,0.02729,0.002676,-0.002676
8.0,7.5,8.5,0.02886,0.002649,-0.002649
9.0,8.5,9.5,0.02907,0.002527,-0.002527
10.0,9.5,10.5,0.02834,0.002306,-0.002306
11.0,10.5,11.5,0.0279,0.002071,-0.002071
12.0,11.5,12.5,0.02684,0.001752,-0.001752
13.0,12.5,13.5,0.02594,0.001498,-0.001498
14.0,13.5,14.5,0.02463,0.00128,-0.00128
15.0,14.5,15.5,0.02308,0.0009912,-0.0009912
16.0,15.5,16.5,0.02222,0.0009,-0.0009
17.0,16.5,17.5,0.02088,0.0006521,-0.0006521
18.0,17.5,18.5,0.02008,0.0003884,-0.0003884
19.0,18.5,19.5,0.01911,0.0005218,-0.0005218
20.0,19.5,20.5,0.01848,0.0005777,-0.0005777
21.0,20.5,21.5,0.01751,0.0005864,-0.0005864
22.0,21.5,22.5,0.01706,0.0006222,-0.0006222
23.0,22.5,23.5,0.01648,0.0004995,-0.0004995
24.0,23.5,24.5,0.0157,0.0003449,-0.0003449
25.0,24.5,25.5,0.01546,0.0006568,-0.0006568
26.0,25.5,26.5,0.01475,0.0008504,-0.0008504
27.0,26.5,27.5,0.01439,0.0009839,-0.0009839
28.0,27.5,28.5,0.01376,0.0006015,-0.0006015
29.0,28.5,29.5,0.01326,0.001052,-0.001052
30.0,29.5,30.5,0.01281,0.0007242,-0.0007242
31.0,30.5,31.5,0.0125,0.0008287,-0.0008287
32.0,31.5,32.5,0.01188,0.000879,-0.000879
33.0,32.5,33.5,0.01147,0.001009,-0.001009
34.0,33.5,34.5,0.01113,0.0008367,-0.0008367
35.0,34.5,35.5,0.01075,0.0008926,-0.0008926
36.0,35.5,36.5,0.01048,0.0009234,-0.0009234
37.0,36.5,37.5,0.01003,0.0007847,-0.0007847
38.0,37.5,38.5,0.009928,0.0008002,-0.0008002
39.0,38.5,39.5,0.009756,0.0008149,-0.0008149
40.0,39.5,40.5,0.009533,0.0008121,-0.0008121
41.0,40.5,41.5,0.009248,0.0008068,-0.0008068
42.0,41.5,42.5,0.008965,0.0007975,-0.0007975
43.0,42.5,43.5,0.008712,0.0007944,-0.0007944
44.0,43.5,44.5,0.008454,0.0007827,-0.0007827
45.0,44.5,45.5,0.008253,0.00078,-0.00078
46.0,45.5,46.5,0.008003,0.0007741,-0.0007741
47.0,46.5,47.5,0.007835,0.0007707,-0.0007707
48.0,47.5,48.5,0.007544,0.0007619,-0.0007619
49.0,48.5,49.5,0.007327,0.0007576,-0.0007576
50.0,49.5,50.5,0.00713,0.0007545,-0.0007545
51.0,50.5,51.5,0.00697,0.000757,-0.000757
52.0,51.5,52.5,0.006833,0.0007633,-0.0007633
53.0,52.5,53.5,0.0065,0.0007414,-0.0007414
54.0,53.5,54.5,0.006347,0.0007423,-0.0007423
55.0,54.5,55.5,0.006133,0.0007346,-0.0007346
56.0,55.5,56.5,0.005952,0.0007307,-0.0007307
57.0,56.5,57.5,0.005795,0.0007289,-0.0007289
58.0,57.5,58.5,0.005628,0.0007225,-0.0007225
59.0,58.5,59.5,0.005447,0.0007154,-0.0007154
60.0,59.5,60.5,0.005243,0.0007031,-0.0007031
61.0,60.5,61.5,0.005126,0.0007027,-0.0007027
62.0,61.5,62.5,0.004934,0.000691,-0.000691
63.0,62.5,63.5,0.004758,0.0006794,-0.0006794
64.0,63.5,64.5,0.00468,0.0006837,-0.0006837
65.0,64.5,65.5,0.004537,0.0006756,-0.0006756
66.0,65.5,66.5,0.004401,0.0006693,-0.0006693
67.0,66.5,67.5,0.004235,0.0006543,-0.0006543
