#: table_doi: 10.17182/hepdata.78802.v1/t84
#: name: Table 84
#: description: Set of fit parameters for the multiplicity distribution in pseudorapidity range -3.4 to 3.4 in INEL>0 collisions at center-of-mass energy 7000 GeV.
#: data_file: Table84.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 7000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: NUM,1.0
#: ETARAP,-3.4-3.4
#: CLASS,INEL>0
#: SQRT(S) [GEV],7000
'PARNAME','SET'
'alpha',0.99
'n1',0.39
'k1',19.79
'n2',3.06
'k2',65.81
'lambda',2.97

#: NUM,2.0
#: ETARAP,-3.4-3.4
#: CLASS,INEL>0
#: SQRT(S) [GEV],7000
'PARNAME','SET'
'alpha',0.96
'n1',0.31
'k1',17.53
'n2',3.63
'k2',57.02
'lambda',2.45

#: NUM,3.0
#: ETARAP,-3.4-3.4
#: CLASS,INEL>0
#: SQRT(S) [GEV],7000
'PARNAME','SET'
'alpha',0.93
'n1',0.2
'k1',15.45
'n2',6.03
'k2',48.0
'lambda',2.01

