#: table_doi: 10.17182/hepdata.78802.v1/t19
#: name: Table 19
#: description: Multiplicity distribution in the pseudorapidity region -3.4 to 3.4 for INEL collisions at a centre-of-mass energy of 900 GeV.
#: data_file: Table19.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 900
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.4-3.4
#: SQRT(S) [GeV],,,900.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
0.0,-0.5,0.5,0.1445,0.04548,-0.04548
1.0,0.5,1.5,0.03009,0.01059,-0.01059
2.0,1.5,2.5,0.02089,0.006507,-0.006507
3.0,2.5,3.5,0.01515,0.003563,-0.003563
4.0,3.5,4.5,0.01287,0.002242,-0.002242
5.0,4.5,5.5,0.01336,0.001691,-0.001691
6.0,5.5,6.5,0.01451,0.001391,-0.001391
7.0,6.5,7.5,0.01653,0.001464,-0.001464
8.0,7.5,8.5,0.01856,0.001621,-0.001621
9.0,8.5,9.5,0.0202,0.001805,-0.001805
10.0,9.5,10.5,0.02142,0.001943,-0.001943
11.0,10.5,11.5,0.02241,0.002016,-0.002016
12.0,11.5,12.5,0.02332,0.002023,-0.002023
13.0,12.5,13.5,0.0234,0.001906,-0.001906
14.0,13.5,14.5,0.02382,0.001777,-0.001777
15.0,14.5,15.5,0.02365,0.00159,-0.00159
16.0,15.5,16.5,0.02288,0.001364,-0.001364
17.0,16.5,17.5,0.02266,0.001192,-0.001192
18.0,17.5,18.5,0.0219,0.001028,-0.001028
19.0,18.5,19.5,0.02092,0.000906,-0.000906
20.0,19.5,20.5,0.02003,0.000785,-0.000785
21.0,20.5,21.5,0.01904,0.0005884,-0.0005884
22.0,21.5,22.5,0.01813,0.0002704,-0.0002704
23.0,22.5,23.5,0.01738,0.0003834,-0.0003834
24.0,23.5,24.5,0.01653,0.000465,-0.000465
25.0,24.5,25.5,0.01596,0.0004213,-0.0004213
26.0,25.5,26.5,0.0153,0.0003562,-0.0003562
27.0,26.5,27.5,0.0146,0.0003473,-0.0003473
28.0,27.5,28.5,0.01421,0.0003347,-0.0003347
29.0,28.5,29.5,0.0138,0.000325,-0.000325
30.0,29.5,30.5,0.01315,0.0003119,-0.0003119
31.0,30.5,31.5,0.01279,0.0003305,-0.0003305
32.0,31.5,32.5,0.01229,0.0003654,-0.0003654
33.0,32.5,33.5,0.01163,0.0003963,-0.0003963
34.0,33.5,34.5,0.01131,0.000424,-0.000424
35.0,34.5,35.5,0.01082,0.0004438,-0.0004438
36.0,35.5,36.5,0.01039,0.0004157,-0.0004157
37.0,36.5,37.5,0.009883,0.0003427,-0.0003427
38.0,37.5,38.5,0.009507,0.0003359,-0.0003359
39.0,38.5,39.5,0.009199,0.0003166,-0.0003166
40.0,39.5,40.5,0.008737,0.0003282,-0.0003282
41.0,40.5,41.5,0.008361,0.0003322,-0.0003322
42.0,41.5,42.5,0.008025,0.0003707,-0.0003707
43.0,42.5,43.5,0.007633,0.0003653,-0.0003653
44.0,43.5,44.5,0.007387,0.0003656,-0.0003656
45.0,44.5,45.5,0.007173,0.0003411,-0.0003411
46.0,45.5,46.5,0.00687,0.0003155,-0.0003155
47.0,46.5,47.5,0.006481,0.0002737,-0.0002737
48.0,47.5,48.5,0.00641,0.0002882,-0.0002882
49.0,48.5,49.5,0.006032,0.0003008,-0.0003008
50.0,49.5,50.5,0.005803,0.0003144,-0.0003144
51.0,50.5,51.5,0.005567,0.0003227,-0.0003227
52.0,51.5,52.5,0.005335,0.0003292,-0.0003292
53.0,52.5,53.5,0.005107,0.000337,-0.000337
54.0,53.5,54.5,0.004916,0.0003407,-0.0003407
55.0,54.5,55.5,0.004668,0.0003424,-0.0003424
56.0,55.5,56.5,0.004506,0.0003482,-0.0003482
57.0,56.5,57.5,0.00427,0.0003447,-0.0003447
58.0,57.5,58.5,0.004097,0.0003446,-0.0003446
59.0,58.5,59.5,0.003898,0.0003413,-0.0003413
60.0,59.5,60.5,0.003724,0.0003381,-0.0003381
61.0,60.5,61.5,0.00359,0.0003383,-0.0003383
62.0,61.5,62.5,0.003372,0.0003287,-0.0003287
63.0,62.5,63.5,0.003272,0.0003295,-0.0003295
64.0,63.5,64.5,0.003047,0.000317,-0.000317
65.0,64.5,65.5,0.002925,0.0003137,-0.0003137
66.0,65.5,66.5,0.002791,0.0003082,-0.0003082
67.0,66.5,67.5,0.002647,0.0003007,-0.0003007
68.0,67.5,68.5,0.002524,0.0002948,-0.0002948
69.0,68.5,69.5,0.002376,0.0002852,-0.0002852
70.0,69.5,70.5,0.002275,0.0002801,-0.0002801
71.0,70.5,71.5,0.002137,0.0002696,-0.0002696
72.0,71.5,72.5,0.002038,0.0002635,-0.0002635
73.0,72.5,73.5,0.001901,0.0002516,-0.0002516
74.0,73.5,74.5,0.001818,0.0002463,-0.0002463
75.0,74.5,75.5,0.001718,0.0002381,-0.0002381
76.0,75.5,76.5,0.001622,0.0002298,-0.0002298
77.0,76.5,77.5,0.001533,0.0002221,-0.0002221
78.0,77.5,78.5,0.001457,0.0002152,-0.0002152
79.0,78.5,79.5,0.001378,0.0002077,-0.0002077
80.0,79.5,80.5,0.001299,0.0002001,-0.0002001
81.0,80.5,81.5,0.00124,0.0001946,-0.0001946
82.0,81.5,82.5,0.001159,0.0001852,-0.0001852
83.0,82.5,83.5,0.001089,0.0001773,-0.0001773
84.0,83.5,84.5,0.001033,0.0001719,-0.0001719
85.0,84.5,85.5,0.0009619,0.0001627,-0.0001627
86.0,85.5,86.5,0.0009242,0.0001589,-0.0001589
87.0,86.5,87.5,0.0008692,0.0001523,-0.0001523
88.0,87.5,88.5,0.0008219,0.0001464,-0.0001464
89.0,88.5,89.5,0.0007721,0.00014,-0.00014
90.0,89.5,90.5,0.0007284,0.0001343,-0.0001343
91.0,90.5,91.5,0.0006883,0.000129,-0.000129
92.0,91.5,92.5,0.0006487,0.0001236,-0.0001236
93.0,92.5,93.5,0.0006099,0.000118,-0.000118
94.0,93.5,94.5,0.000577,0.0001134,-0.0001134
