#: table_doi: 10.17182/hepdata.78802.v1/t28
#: name: Table 28
#: description: Multiplicity distribution in the pseudorapidity region -3.0 to 3.0 for INEL collisions at a centre-of-mass energy of 8000 GeV.
#: data_file: Table28.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 8000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.0-3.0
#: SQRT(S) [GeV],,,8000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
0.0,-0.5,0.5,0.184,0.05904,-0.05904
1.0,0.5,1.5,0.02363,0.008216,-0.008216
2.0,1.5,2.5,0.0184,0.005223,-0.005223
3.0,2.5,3.5,0.01343,0.002834,-0.002834
4.0,3.5,4.5,0.01248,0.002054,-0.002054
5.0,4.5,5.5,0.01302,0.001667,-0.001667
6.0,5.5,6.5,0.01469,0.001797,-0.001797
7.0,6.5,7.5,0.01633,0.001955,-0.001955
8.0,7.5,8.5,0.01808,0.002122,-0.002122
9.0,8.5,9.5,0.01895,0.002133,-0.002133
10.0,9.5,10.5,0.01944,0.002085,-0.002085
11.0,10.5,11.5,0.01951,0.001961,-0.001961
12.0,11.5,12.5,0.01942,0.001796,-0.001796
13.0,12.5,13.5,0.019,0.00157,-0.00157
14.0,13.5,14.5,0.0183,0.001341,-0.001341
15.0,14.5,15.5,0.01735,0.001148,-0.001148
16.0,15.5,16.5,0.01664,0.001017,-0.001017
17.0,16.5,17.5,0.0159,0.0009296,-0.0009296
18.0,17.5,18.5,0.01504,0.0008104,-0.0008104
19.0,18.5,19.5,0.01444,0.0006642,-0.0006642
20.0,19.5,20.5,0.01377,0.0004985,-0.0004985
21.0,20.5,21.5,0.01317,0.000385,-0.000385
22.0,21.5,22.5,0.0126,0.0002878,-0.0002878
23.0,22.5,23.5,0.01199,0.0003014,-0.0003014
24.0,23.5,24.5,0.01182,0.0002993,-0.0002993
25.0,24.5,25.5,0.01127,0.000287,-0.000287
26.0,25.5,26.5,0.01102,0.0004175,-0.0004175
27.0,26.5,27.5,0.0107,0.0004449,-0.0004449
28.0,27.5,28.5,0.01035,0.0005551,-0.0005551
29.0,28.5,29.5,0.01013,0.0003016,-0.0003016
30.0,29.5,30.5,0.01004,0.0004824,-0.0004824
31.0,30.5,31.5,0.009688,0.0004084,-0.0004084
32.0,31.5,32.5,0.009358,0.0003931,-0.0003931
33.0,32.5,33.5,0.008965,0.0004014,-0.0004014
34.0,33.5,34.5,0.00878,0.0004032,-0.0004032
35.0,34.5,35.5,0.008512,0.0004273,-0.0004273
36.0,35.5,36.5,0.008268,0.0004531,-0.0004531
37.0,36.5,37.5,0.008087,0.0004778,-0.0004778
38.0,37.5,38.5,0.007812,0.0004895,-0.0004895
39.0,38.5,39.5,0.007589,0.0005077,-0.0005077
40.0,39.5,40.5,0.00736,0.0005121,-0.0005121
41.0,40.5,41.5,0.007189,0.0005248,-0.0005248
42.0,41.5,42.5,0.006981,0.0005338,-0.0005338
43.0,42.5,43.5,0.006721,0.0005318,-0.0005318
44.0,43.5,44.5,0.006688,0.00055,-0.00055
45.0,44.5,45.5,0.006495,0.0005559,-0.0005559
46.0,45.5,46.5,0.006332,0.0005613,-0.0005613
47.0,46.5,47.5,0.006247,0.0005699,-0.0005699
48.0,47.5,48.5,0.006098,0.0005748,-0.0005748
49.0,48.5,49.5,0.005974,0.0005818,-0.0005818
50.0,49.5,50.5,0.00582,0.0005825,-0.0005825
51.0,50.5,51.5,0.005746,0.0005916,-0.0005916
52.0,51.5,52.5,0.005617,0.0005945,-0.0005945
53.0,52.5,53.5,0.00546,0.0005943,-0.0005943
54.0,53.5,54.5,0.005407,0.0006034,-0.0006034
55.0,54.5,55.5,0.005309,0.000605,-0.000605
56.0,55.5,56.5,0.005106,0.0005973,-0.0005973
57.0,56.5,57.5,0.005049,0.0006059,-0.0006059
58.0,57.5,58.5,0.004941,0.000605,-0.000605
59.0,58.5,59.5,0.004794,0.0005982,-0.0005982
60.0,59.5,60.5,0.004677,0.0005975,-0.0005975
61.0,60.5,61.5,0.004491,0.000582,-0.000582
62.0,61.5,62.5,0.004428,0.0005875,-0.0005875
63.0,62.5,63.5,0.004334,0.0005857,-0.0005857
64.0,63.5,64.5,0.004202,0.0005762,-0.0005762
65.0,64.5,65.5,0.004085,0.0005711,-0.0005711
66.0,65.5,66.5,0.00406,0.0005785,-0.0005785
67.0,66.5,67.5,0.003939,0.000568,-0.000568
68.0,67.5,68.5,0.003862,0.0005668,-0.0005668
69.0,68.5,69.5,0.003723,0.0005566,-0.0005566
70.0,69.5,70.5,0.003648,0.0005529,-0.0005529
71.0,70.5,71.5,0.003573,0.000553,-0.000553
72.0,71.5,72.5,0.003471,0.0005467,-0.0005467
73.0,72.5,73.5,0.003387,0.0005394,-0.0005394
74.0,73.5,74.5,0.003306,0.0005378,-0.0005378
75.0,74.5,75.5,0.00324,0.0005373,-0.0005373
76.0,75.5,76.5,0.003114,0.0005262,-0.0005262
77.0,76.5,77.5,0.00305,0.0005228,-0.0005228
78.0,77.5,78.5,0.002998,0.0005234,-0.0005234
79.0,78.5,79.5,0.002937,0.0005195,-0.0005195
80.0,79.5,80.5,0.002845,0.000511,-0.000511
81.0,80.5,81.5,0.002799,0.0005125,-0.0005125
82.0,81.5,82.5,0.002695,0.0005005,-0.0005005
83.0,82.5,83.5,0.00262,0.0004932,-0.0004932
84.0,83.5,84.5,0.002569,0.0004904,-0.0004904
85.0,84.5,85.5,0.002491,0.0004827,-0.0004827
86.0,85.5,86.5,0.002417,0.0004762,-0.0004762
87.0,86.5,87.5,0.002385,0.0004742,-0.0004742
88.0,87.5,88.5,0.002288,0.0004618,-0.0004618
89.0,88.5,89.5,0.002252,0.0004592,-0.0004592
90.0,89.5,90.5,0.002181,0.0004509,-0.0004509
91.0,90.5,91.5,0.002124,0.0004416,-0.0004416
92.0,91.5,92.5,0.002085,0.0004405,-0.0004405
93.0,92.5,93.5,0.002012,0.0004272,-0.0004272
94.0,93.5,94.5,0.001971,0.0004243,-0.0004243
95.0,94.5,95.5,0.001872,0.0004055,-0.0004055
96.0,95.5,96.5,0.001857,0.0004062,-0.0004062
97.0,96.5,97.5,0.001778,0.0003939,-0.0003939
98.0,97.5,98.5,0.001749,0.0003908,-0.0003908
99.0,98.5,99.5,0.001715,0.0003867,-0.0003867
100.0,99.5,100.5,0.001634,0.0003727,-0.0003727
101.0,100.5,101.5,0.00161,0.0003686,-0.0003686
102.0,101.5,102.5,0.001532,0.0003562,-0.0003562
103.0,102.5,103.5,0.001513,0.0003558,-0.0003558
104.0,103.5,104.5,0.001473,0.0003491,-0.0003491
105.0,104.5,105.5,0.001424,0.0003415,-0.0003415
