#: table_doi: 10.17182/hepdata.78802.v1/t59
#: name: Table 59
#: description: Set of fit parameters for the multiplicity distribution in pseudorapidity range -3.4 to 3.4 in NSD collisions at center-of-mass energy 8000 GeV.
#: data_file: Table59.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 8000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: NUM,1.0
#: ETARAP,-3.4-3.4
#: CLASS,NSD
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',0.97
'n1',0.33
'k1',19.54
'n2',3.21
'k2',66.21
'lambda',2.64

#: NUM,2.0
#: ETARAP,-3.4-3.4
#: CLASS,NSD
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',0.93
'n1',0.26
'k1',17.57
'n2',3.84
'k2',57.55
'lambda',2.22

#: NUM,3.0
#: ETARAP,-3.4-3.4
#: CLASS,NSD
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',0.9
'n1',0.18
'k1',15.93
'n2',5.73
'k2',49.51
'lambda',1.95

