#: table_doi: 10.17182/hepdata.78802.v1/t31
#: name: Table 31
#: description: Multiplicity distribution in the pseudorapidity region -2.0 to 2.0 for INEL>0 collisions at a centre-of-mass energy of 900 GeV.
#: data_file: Table31.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 900
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-2.0-2.0
#: SQRT(S) [GeV],,,900.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
1.0,0.5,1.5,0.01813,0.001341,-0.001341
2.0,1.5,2.5,0.0231,0.001439,-0.001439
3.0,2.5,3.5,0.0283,0.001667,-0.001667
4.0,3.5,4.5,0.03407,0.00181,-0.00181
5.0,4.5,5.5,0.03911,0.001726,-0.001726
6.0,5.5,6.5,0.04241,0.001514,-0.001514
7.0,6.5,7.5,0.04465,0.001364,-0.001364
8.0,7.5,8.5,0.04542,0.001254,-0.001254
9.0,8.5,9.5,0.04504,0.001127,-0.001127
10.0,9.5,10.5,0.04463,0.0009802,-0.0009802
11.0,10.5,11.5,0.04276,0.0008539,-0.0008539
12.0,11.5,12.5,0.04068,0.0008195,-0.0008195
13.0,12.5,13.5,0.03804,0.0008048,-0.0008048
14.0,13.5,14.5,0.0353,0.0007516,-0.0007516
15.0,14.5,15.5,0.03314,0.000675,-0.000675
16.0,15.5,16.5,0.03102,0.0004502,-0.0004502
17.0,16.5,17.5,0.0289,0.0005535,-0.0005535
18.0,17.5,18.5,0.02718,0.0006176,-0.0006176
19.0,18.5,19.5,0.02542,0.0006422,-0.0006422
20.0,19.5,20.5,0.02358,0.000669,-0.000669
21.0,20.5,21.5,0.02215,0.0006525,-0.0006525
22.0,21.5,22.5,0.02079,0.0006339,-0.0006339
23.0,22.5,23.5,0.01928,0.0006204,-0.0006204
24.0,23.5,24.5,0.01797,0.0006204,-0.0006204
25.0,24.5,25.5,0.01675,0.0006049,-0.0006049
26.0,25.5,26.5,0.01568,0.0005908,-0.0005908
27.0,26.5,27.5,0.01455,0.0005781,-0.0005781
28.0,27.5,28.5,0.01357,0.0005728,-0.0005728
29.0,28.5,29.5,0.01264,0.000543,-0.000543
30.0,29.5,30.5,0.01186,0.0005394,-0.0005394
31.0,30.5,31.5,0.01105,0.0005192,-0.0005192
32.0,31.5,32.5,0.01037,0.0004988,-0.0004988
33.0,32.5,33.5,0.009633,0.0004801,-0.0004801
34.0,33.5,34.5,0.009044,0.0004706,-0.0004706
35.0,34.5,35.5,0.008416,0.0004494,-0.0004494
36.0,35.5,36.5,0.007843,0.0004354,-0.0004354
37.0,36.5,37.5,0.007266,0.000406,-0.000406
38.0,37.5,38.5,0.006753,0.000389,-0.000389
39.0,38.5,39.5,0.006223,0.0003748,-0.0003748
40.0,39.5,40.5,0.005719,0.0003523,-0.0003523
41.0,40.5,41.5,0.005358,0.0003404,-0.0003404
42.0,41.5,42.5,0.004891,0.0003183,-0.0003183
43.0,42.5,43.5,0.004487,0.0002989,-0.0002989
44.0,43.5,44.5,0.004123,0.000281,-0.000281
45.0,44.5,45.5,0.003779,0.0002634,-0.0002634
46.0,45.5,46.5,0.003494,0.0002488,-0.0002488
47.0,46.5,47.5,0.003194,0.0002323,-0.0002323
48.0,47.5,48.5,0.002953,0.0002193,-0.0002193
49.0,48.5,49.5,0.002682,0.000203,-0.000203
50.0,49.5,50.5,0.00246,0.0001899,-0.0001899
51.0,50.5,51.5,0.002259,0.0001778,-0.0001778
52.0,51.5,52.5,0.00204,0.0001635,-0.0001635
53.0,52.5,53.5,0.001868,0.0001525,-0.0001525
54.0,53.5,54.5,0.001715,0.0001425,-0.0001425
55.0,54.5,55.5,0.001568,0.0001328,-0.0001328
56.0,55.5,56.5,0.001404,0.0001209,-0.0001209
57.0,56.5,57.5,0.001287,0.0001128,-0.0001128
58.0,57.5,58.5,0.001173,0.0001046,-0.0001046
59.0,58.5,59.5,0.001063,9.638e-05,-9.638e-05
60.0,59.5,60.5,0.000968,8.926e-05,-8.926e-05
61.0,60.5,61.5,0.0008801,8.25e-05,-8.25e-05
62.0,61.5,62.5,0.0007981,7.581e-05,-7.581e-05
63.0,62.5,63.5,0.000719,6.958e-05,-6.958e-05
64.0,63.5,64.5,0.0006553,6.436e-05,-6.436e-05
65.0,64.5,65.5,0.0005937,5.919e-05,-5.919e-05
66.0,65.5,66.5,0.0005423,5.491e-05,-5.491e-05
67.0,66.5,67.5,0.00049,5.035e-05,-5.035e-05
68.0,67.5,68.5,0.0004376,4.567e-05,-4.567e-05
69.0,68.5,69.5,0.0003991,4.224e-05,-4.224e-05
70.0,69.5,70.5,0.0003581,3.846e-05,-3.846e-05
71.0,70.5,71.5,0.0003255,3.55e-05,-3.55e-05
72.0,71.5,72.5,0.0002882,3.178e-05,-3.178e-05
73.0,72.5,73.5,0.0002599,2.922e-05,-2.922e-05
74.0,73.5,74.5,0.0002338,2.668e-05,-2.668e-05

