#: table_doi: 10.17182/hepdata.78802.v1/t88
#: name: Table 88
#: description: Set of fit parameters for the multiplicity distribution in pseudorapidity range -3.0 to 3.0 in INEL>0 collisions at center-of-mass energy 8000 GeV.
#: data_file: Table88.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 8000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: NUM,1.0
#: ETARAP,-3.0-3.0
#: CLASS,INEL>0
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',1.0
'n1',0.33
'k1',15.78
'n2',3.24
'k2',55.92
'lambda',2.5

#: NUM,2.0
#: ETARAP,-3.0-3.0
#: CLASS,INEL>0
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',0.97
'n1',0.28
'k1',14.61
'n2',3.73
'k2',50.01
'lambda',2.19

#: NUM,3.0
#: ETARAP,-3.0-3.0
#: CLASS,INEL>0
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',0.94
'n1',0.22
'k1',13.55
'n2',5.02
'k2',43.78
'lambda',1.93

