#: table_doi: 10.17182/hepdata.78802.v1/t32
#: name: Table 32
#: description: Multiplicity distribution in the pseudorapidity region -2.4 to 2.4 for INEL>0 collisions at a centre-of-mass energy of 900 GeV.
#: data_file: Table32.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 900
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-2.4-2.4
#: SQRT(S) [GeV],,,900.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
1.0,0.5,1.5,0.01594,0.002467,-0.002467
2.0,1.5,2.5,0.01779,0.002142,-0.002142
3.0,2.5,3.5,0.01915,0.00191,-0.00191
4.0,3.5,4.5,0.02248,0.00204,-0.00204
5.0,4.5,5.5,0.02691,0.002244,-0.002244
6.0,5.5,6.5,0.03006,0.00229,-0.00229
7.0,6.5,7.5,0.03351,0.002362,-0.002362
8.0,7.5,8.5,0.03596,0.002396,-0.002396
9.0,8.5,9.5,0.03743,0.002358,-0.002358
10.0,9.5,10.5,0.03824,0.002182,-0.002182
11.0,10.5,11.5,0.03817,0.001824,-0.001824
12.0,11.5,12.5,0.0374,0.001378,-0.001378
13.0,12.5,13.5,0.0362,0.001005,-0.001005
14.0,13.5,14.5,0.03461,0.000822,-0.000822
15.0,14.5,15.5,0.03248,0.0007376,-0.0007376
16.0,15.5,16.5,0.03069,0.0006435,-0.0006435
17.0,16.5,17.5,0.02914,0.0006388,-0.0006388
18.0,17.5,18.5,0.02723,0.0003282,-0.0003282
19.0,18.5,19.5,0.02586,0.0004689,-0.0004689
20.0,19.5,20.5,0.02452,0.0006146,-0.0006146
21.0,20.5,21.5,0.02338,0.0006227,-0.0006227
22.0,21.5,22.5,0.02223,0.000556,-0.000556
23.0,22.5,23.5,0.02128,0.0004166,-0.0004166
24.0,23.5,24.5,0.02019,0.0002062,-0.0002062
25.0,24.5,25.5,0.0191,0.0001489,-0.0001489
26.0,25.5,26.5,0.01822,0.0003779,-0.0003779
27.0,26.5,27.5,0.01712,0.0005178,-0.0005178
28.0,27.5,28.5,0.01611,0.0006029,-0.0006029
29.0,28.5,29.5,0.01514,0.0006087,-0.0006087
30.0,29.5,30.5,0.01422,0.0006202,-0.0006202
31.0,30.5,31.5,0.01354,0.0006397,-0.0006397
32.0,31.5,32.5,0.01269,0.0006452,-0.0006452
33.0,32.5,33.5,0.01213,0.0006687,-0.0006687
34.0,33.5,34.5,0.01141,0.0006589,-0.0006589
35.0,34.5,35.5,0.01082,0.0006667,-0.0006667
36.0,35.5,36.5,0.01013,0.0006498,-0.0006498
37.0,36.5,37.5,0.009603,0.000649,-0.000649
38.0,37.5,38.5,0.009096,0.0006509,-0.0006509
39.0,38.5,39.5,0.00866,0.0006346,-0.0006346
40.0,39.5,40.5,0.008104,0.0006195,-0.0006195
41.0,40.5,41.5,0.007658,0.0006055,-0.0006055
42.0,41.5,42.5,0.007217,0.0005889,-0.0005889
43.0,42.5,43.5,0.006747,0.0005708,-0.0005708
44.0,43.5,44.5,0.006342,0.0005528,-0.0005528
45.0,44.5,45.5,0.005959,0.0005396,-0.0005396
46.0,45.5,46.5,0.005576,0.0005227,-0.0005227
47.0,46.5,47.5,0.005235,0.0005035,-0.0005035
48.0,47.5,48.5,0.0049,0.0004857,-0.0004857
49.0,48.5,49.5,0.004558,0.0004652,-0.0004652
50.0,49.5,50.5,0.004301,0.0004474,-0.0004474
51.0,50.5,51.5,0.004027,0.0004324,-0.0004324
52.0,51.5,52.5,0.003714,0.0004039,-0.0004039
53.0,52.5,53.5,0.003518,0.0003972,-0.0003972
54.0,53.5,54.5,0.003276,0.0003755,-0.0003755
55.0,54.5,55.5,0.003049,0.0003619,-0.0003619
56.0,55.5,56.5,0.002807,0.0003405,-0.0003405
57.0,56.5,57.5,0.002635,0.0003266,-0.0003266
58.0,57.5,58.5,0.002432,0.0003079,-0.0003079
59.0,58.5,59.5,0.002254,0.0002914,-0.0002914
60.0,59.5,60.5,0.002101,0.0002771,-0.0002771
61.0,60.5,61.5,0.001945,0.0002616,-0.0002616
62.0,61.5,62.5,0.001822,0.0002498,-0.0002498
63.0,62.5,63.5,0.001667,0.0002328,-0.0002328
64.0,63.5,64.5,0.001551,0.0002206,-0.0002206
65.0,64.5,65.5,0.001443,0.0002088,-0.0002088
66.0,65.5,66.5,0.001325,0.0001953,-0.0001953
67.0,66.5,67.5,0.001236,0.0001852,-0.0001852
68.0,67.5,68.5,0.001153,0.0001757,-0.0001757
69.0,68.5,69.5,0.001042,0.0001613,-0.0001613
70.0,69.5,70.5,0.0009802,0.0001541,-0.0001541
71.0,70.5,71.5,0.0008912,0.0001425,-0.0001425
72.0,71.5,72.5,0.0008277,0.0001343,-0.0001343
73.0,72.5,73.5,0.0007661,0.0001263,-0.0001263
74.0,73.5,74.5,0.0007123,0.0001191,-0.0001191
75.0,74.5,75.5,0.0006494,0.0001103,-0.0001103
76.0,75.5,76.5,0.0005902,0.0001017,-0.0001017
77.0,76.5,77.5,0.0005459,9.511e-05,-9.511e-05
78.0,77.5,78.5,0.0004999,8.873e-05,-8.873e-05
79.0,78.5,79.5,0.000464,8.355e-05,-8.355e-05
80.0,79.5,80.5,0.0004242,7.75e-05,-7.75e-05
81.0,80.5,81.5,0.0003871,7.193e-05,-7.193e-05
82.0,81.5,82.5,0.0003571,6.707e-05,-6.707e-05
83.0,82.5,83.5,0.0003219,6.132e-05,-6.132e-05
84.0,83.5,84.5,0.0002966,5.725e-05,-5.725e-05
85.0,84.5,85.5,0.0002687,5.263e-05,-5.263e-05
86.0,85.5,86.5,0.0002497,4.993e-05,-4.993e-05
87.0,86.5,87.5,0.0002235,4.488e-05,-4.488e-05
88.0,87.5,88.5,0.0002055,4.193e-05,-4.193e-05

