#: table_doi: 10.17182/hepdata.78802.v1/t68
#: name: Table 68
#: description: Set of fit parameters for the multiplicity distribution in pseudorapidity range -3.0 to 3.0 in INEL collisions at center-of-mass energy 7000 GeV.
#: data_file: Table68.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 7000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: NUM,1.0
#: ETARAP,-3.0-3.0
#: CLASS,INEL
#: SQRT(S) [GEV],7000
'PARNAME','SET'
'alpha',0.8
'n1',0.4
'k1',16.17
'n2',2.77
'k2',57.7
'lambda',2.82

#: NUM,2.0
#: ETARAP,-3.0-3.0
#: CLASS,INEL
#: SQRT(S) [GEV],7000
'PARNAME','SET'
'alpha',0.78
'n1',0.35
'k1',14.75
'n2',3.13
'k2',51.55
'lambda',2.45

#: NUM,3.0
#: ETARAP,-3.0-3.0
#: CLASS,INEL
#: SQRT(S) [GEV],7000
'PARNAME','SET'
'alpha',0.75
'n1',0.28
'k1',13.38
'n2',4.47
'k2',44.74
'lambda',2.11

