#: table_doi: 10.17182/hepdata.78802.v1/t44
#: name: Table 44
#: description: Multiplicity distribution in the pseudorapidity region -3.4 to 3.4 for INEL>0 collisions at a centre-of-mass energy of 8000 GeV.
#: data_file: Table44.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 7000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.4-3.4
#: SQRT(S) [GeV],,,8000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
1.0,0.5,1.5,0.02083,0.008565,-0.008565
2.0,1.5,2.5,0.01948,0.007172,-0.007172
3.0,2.5,3.5,0.01205,0.003597,-0.003597
4.0,3.5,4.5,0.01044,0.002377,-0.002377
5.0,4.5,5.5,0.0108,0.00186,-0.00186
6.0,5.5,6.5,0.01202,0.001605,-0.001605
7.0,6.5,7.5,0.01372,0.001691,-0.001691
8.0,7.5,8.5,0.01557,0.001833,-0.001833
9.0,8.5,9.5,0.01746,0.002059,-0.002059
10.0,9.5,10.5,0.01907,0.00223,-0.00223
11.0,10.5,11.5,0.02002,0.002278,-0.002278
12.0,11.5,12.5,0.02064,0.002227,-0.002227
13.0,12.5,13.5,0.02081,0.002107,-0.002107
14.0,13.5,14.5,0.0208,0.001933,-0.001933
15.0,14.5,15.5,0.02028,0.001718,-0.001718
16.0,15.5,16.5,0.01978,0.001524,-0.001524
17.0,16.5,17.5,0.01927,0.001353,-0.001353
18.0,17.5,18.5,0.01854,0.001198,-0.001198
19.0,18.5,19.5,0.01788,0.001096,-0.001096
20.0,19.5,20.5,0.01708,0.0009682,-0.0009682
21.0,20.5,21.5,0.01638,0.0008025,-0.0008025
22.0,21.5,22.5,0.01602,0.000592,-0.000592
23.0,22.5,23.5,0.01544,0.0005376,-0.0005376
24.0,23.5,24.5,0.01462,0.0003837,-0.0003837
25.0,24.5,25.5,0.01431,0.0004888,-0.0004888
26.0,25.5,26.5,0.01356,0.0003977,-0.0003977
27.0,26.5,27.5,0.0133,0.0003489,-0.0003489
28.0,27.5,28.5,0.01303,0.0004273,-0.0004273
29.0,28.5,29.5,0.01255,0.0002696,-0.0002696
30.0,29.5,30.5,0.01235,0.0004435,-0.0004435
31.0,30.5,31.5,0.01204,0.0005857,-0.0005857
32.0,31.5,32.5,0.01173,0.0005106,-0.0005106
33.0,32.5,33.5,0.01161,0.0005514,-0.0005514
34.0,33.5,34.5,0.01135,0.000597,-0.000597
35.0,34.5,35.5,0.01085,0.000764,-0.000764
36.0,35.5,36.5,0.01069,0.0004257,-0.0004257
37.0,36.5,37.5,0.01039,0.0004051,-0.0004051
38.0,37.5,38.5,0.01012,0.0003964,-0.0003964
39.0,38.5,39.5,0.009877,0.0003897,-0.0003897
40.0,39.5,40.5,0.00957,0.0004185,-0.0004185
41.0,40.5,41.5,0.009346,0.0004526,-0.0004526
42.0,41.5,42.5,0.009114,0.0004962,-0.0004962
43.0,42.5,43.5,0.008945,0.0005245,-0.0005245
44.0,43.5,44.5,0.008641,0.0005226,-0.0005226
45.0,44.5,45.5,0.008486,0.0004981,-0.0004981
46.0,45.5,46.5,0.008202,0.0004531,-0.0004531
47.0,46.5,47.5,0.008057,0.0004258,-0.0004258
48.0,47.5,48.5,0.007855,0.0004327,-0.0004327
49.0,48.5,49.5,0.007744,0.0004668,-0.0004668
50.0,49.5,50.5,0.00749,0.0004767,-0.0004767
51.0,50.5,51.5,0.007551,0.000504,-0.000504
52.0,51.5,52.5,0.007248,0.0005096,-0.0005096
53.0,52.5,53.5,0.007142,0.0005216,-0.0005216
54.0,53.5,54.5,0.006989,0.000536,-0.000536
55.0,54.5,55.5,0.006843,0.0005517,-0.0005517
56.0,55.5,56.5,0.006728,0.0005593,-0.0005593
57.0,56.5,57.5,0.006718,0.0005855,-0.0005855
58.0,57.5,58.5,0.006603,0.0005934,-0.0005934
59.0,58.5,59.5,0.006374,0.0005937,-0.0005937
60.0,59.5,60.5,0.006366,0.0006222,-0.0006222
61.0,60.5,61.5,0.006081,0.0006127,-0.0006127
62.0,61.5,62.5,0.005995,0.0006275,-0.0006275
63.0,62.5,63.5,0.005883,0.0006303,-0.0006303
64.0,63.5,64.5,0.005716,0.0006368,-0.0006368
65.0,64.5,65.5,0.005599,0.0006407,-0.0006407
66.0,65.5,66.5,0.0055,0.0006474,-0.0006474
67.0,66.5,67.5,0.005388,0.0006532,-0.0006532
68.0,67.5,68.5,0.0052,0.0006454,-0.0006454
69.0,68.5,69.5,0.005156,0.00066,-0.00066
70.0,69.5,70.5,0.00509,0.0006626,-0.0006626
71.0,70.5,71.5,0.004937,0.0006541,-0.0006541
72.0,71.5,72.5,0.004811,0.0006509,-0.0006509
73.0,72.5,73.5,0.004718,0.0006523,-0.0006523
74.0,73.5,74.5,0.004644,0.0006523,-0.0006523
75.0,74.5,75.5,0.004559,0.0006545,-0.0006545
76.0,75.5,76.5,0.004424,0.0006473,-0.0006473
77.0,76.5,77.5,0.004303,0.0006369,-0.0006369
78.0,77.5,78.5,0.004304,0.0006502,-0.0006502
79.0,78.5,79.5,0.004133,0.0006334,-0.0006334
80.0,79.5,80.5,0.004084,0.0006383,-0.0006383
81.0,80.5,81.5,0.003972,0.0006331,-0.0006331
82.0,81.5,82.5,0.003858,0.000623,-0.000623
83.0,82.5,83.5,0.003882,0.0006393,-0.0006393
84.0,83.5,84.5,0.003691,0.0006195,-0.0006195
