#: table_doi: 10.17182/hepdata.78802.v1/t37
#: name: Table 37
#: description: Multiplicity distribution in the pseudorapidity region -2.4 to 2.4 for INEL>0 collisions at a centre-of-mass energy of 7000 GeV.
#: data_file: Table37.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 7000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-2.4-2.4
#: SQRT(S) [GeV],,,7000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
1.0,0.5,1.5,0.01164,0.004052,-0.004052
2.0,1.5,2.5,0.0125,0.00297,-0.00297
3.0,2.5,3.5,0.01411,0.002363,-0.002363
4.0,3.5,4.5,0.01678,0.002293,-0.002293
5.0,4.5,5.5,0.02,0.00213,-0.00213
6.0,5.5,6.5,0.02273,0.001888,-0.001888
7.0,6.5,7.5,0.02497,0.001527,-0.001527
8.0,7.5,8.5,0.02649,0.001468,-0.001468
9.0,8.5,9.5,0.02776,0.001573,-0.001573
10.0,9.5,10.5,0.02795,0.001533,-0.001533
11.0,10.5,11.5,0.02817,0.001398,-0.001398
12.0,11.5,12.5,0.02736,0.00114,-0.00114
13.0,12.5,13.5,0.02651,0.001183,-0.001183
14.0,13.5,14.5,0.0253,0.00115,-0.00115
15.0,14.5,15.5,0.02406,0.0008949,-0.0008949
16.0,15.5,16.5,0.02264,0.0007939,-0.0007939
17.0,16.5,17.5,0.02151,0.0009181,-0.0009181
18.0,17.5,18.5,0.02048,0.0007903,-0.0007903
19.0,18.5,19.5,0.01967,0.0007783,-0.0007783
20.0,19.5,20.5,0.01874,0.0007858,-0.0007858
21.0,20.5,21.5,0.0181,0.0007453,-0.0007453
22.0,21.5,22.5,0.0175,0.0008024,-0.0008024
23.0,22.5,23.5,0.01693,0.0005861,-0.0005861
24.0,23.5,24.5,0.01641,0.0004746,-0.0004746
25.0,24.5,25.5,0.01593,0.0004992,-0.0004992
26.0,25.5,26.5,0.01541,0.0004617,-0.0004617
27.0,26.5,27.5,0.01485,0.0005195,-0.0005195
28.0,27.5,28.5,0.01439,0.0005623,-0.0005623
29.0,28.5,29.5,0.01385,0.0005303,-0.0005303
30.0,29.5,30.5,0.01336,0.0005891,-0.0005891
31.0,30.5,31.5,0.01296,0.0005696,-0.0005696
32.0,31.5,32.5,0.01249,0.0005793,-0.0005793
33.0,32.5,33.5,0.01209,0.0005898,-0.0005898
34.0,33.5,34.5,0.01173,0.0006323,-0.0006323
35.0,34.5,35.5,0.01133,0.0006951,-0.0006951
36.0,35.5,36.5,0.01096,0.0006549,-0.0006549
37.0,36.5,37.5,0.01065,0.0006703,-0.0006703
38.0,37.5,38.5,0.01033,0.0007813,-0.0007813
39.0,38.5,39.5,0.01011,0.0007038,-0.0007038
40.0,39.5,40.5,0.009761,0.0007211,-0.0007211
41.0,40.5,41.5,0.009519,0.0007188,-0.0007188
42.0,41.5,42.5,0.009365,0.0007262,-0.0007262
43.0,42.5,43.5,0.009005,0.0007136,-0.0007136
44.0,43.5,44.5,0.008873,0.0007024,-0.0007024
45.0,44.5,45.5,0.008591,0.0007654,-0.0007654
46.0,45.5,46.5,0.008257,0.0006874,-0.0006874
47.0,46.5,47.5,0.008049,0.0007243,-0.0007243
48.0,47.5,48.5,0.007814,0.0006893,-0.0006893
49.0,48.5,49.5,0.007539,0.0006871,-0.0006871
50.0,49.5,50.5,0.007392,0.0007351,-0.0007351
51.0,50.5,51.5,0.007166,0.0007061,-0.0007061
52.0,51.5,52.5,0.006957,0.0007376,-0.0007376
53.0,52.5,53.5,0.006811,0.0007516,-0.0007516
54.0,53.5,54.5,0.006555,0.0007108,-0.0007108
55.0,54.5,55.5,0.006322,0.0006882,-0.0006882
56.0,55.5,56.5,0.00608,0.0007125,-0.0007125
57.0,56.5,57.5,0.005954,0.000699,-0.000699
58.0,57.5,58.5,0.005788,0.0006959,-0.0006959
59.0,58.5,59.5,0.005621,0.0006869,-0.0006869
60.0,59.5,60.5,0.005435,0.0006688,-0.0006688
61.0,60.5,61.5,0.005241,0.0006706,-0.0006706
62.0,61.5,62.5,0.005075,0.0006554,-0.0006554
63.0,62.5,63.5,0.004951,0.0006398,-0.0006398
64.0,63.5,64.5,0.004809,0.0006689,-0.0006689
65.0,64.5,65.5,0.004654,0.0006428,-0.0006428
66.0,65.5,66.5,0.004487,0.0006209,-0.0006209
67.0,66.5,67.5,0.004329,0.0006135,-0.0006135
68.0,67.5,68.5,0.004213,0.000623,-0.000623
69.0,68.5,69.5,0.004035,0.000609,-0.000609
70.0,69.5,70.5,0.003954,0.0006103,-0.0006103
71.0,70.5,71.5,0.003804,0.0005838,-0.0005838
72.0,71.5,72.5,0.003654,0.0005747,-0.0005747
73.0,72.5,73.5,0.003547,0.0005589,-0.0005589
74.0,73.5,74.5,0.003445,0.0005607,-0.0005607
75.0,74.5,75.5,0.003308,0.000542,-0.000542
76.0,75.5,76.5,0.003175,0.0005469,-0.0005469
77.0,76.5,77.5,0.003073,0.0004955,-0.0004955
78.0,77.5,78.5,0.003003,0.0005104,-0.0005104
79.0,78.5,79.5,0.002874,0.0004867,-0.0004867
80.0,79.5,80.5,0.002768,0.0004772,-0.0004772
81.0,80.5,81.5,0.002683,0.0004752,-0.0004752
82.0,81.5,82.5,0.002589,0.0004574,-0.0004574
83.0,82.5,83.5,0.002507,0.0004574,-0.0004574
84.0,83.5,84.5,0.002408,0.0004399,-0.0004399
85.0,84.5,85.5,0.002311,0.0004318,-0.0004318
86.0,85.5,86.5,0.002245,0.0004152,-0.0004152
87.0,86.5,87.5,0.00215,0.0004123,-0.0004123
88.0,87.5,88.5,0.00208,0.0003997,-0.0003997
89.0,88.5,89.5,0.001988,0.0003789,-0.0003789
90.0,89.5,90.5,0.001919,0.0003839,-0.0003839
