#: table_doi: 10.17182/hepdata.78802.v1/t33
#: name: Table 33
#: description: Multiplicity distribution in the pseudorapidity region -3.0 to 3.0 for INEL>0 collisions at a centre-of-mass energy of 900 GeV.
#: data_file: Table33.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 900
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.0-3.0
#: SQRT(S) [GeV],,,900.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
1.0,0.5,1.5,0.01925,0.004971,-0.004971
2.0,1.5,2.5,0.01666,0.003877,-0.003877
3.0,2.5,3.5,0.01454,0.002518,-0.002518
4.0,3.5,4.5,0.01387,0.001641,-0.001641
5.0,4.5,5.5,0.01601,0.001555,-0.001555
6.0,5.5,6.5,0.01898,0.001766,-0.001766
7.0,6.5,7.5,0.02188,0.002009,-0.002009
8.0,7.5,8.5,0.02443,0.002182,-0.002182
9.0,8.5,9.5,0.02657,0.002316,-0.002316
10.0,9.5,10.5,0.02851,0.002427,-0.002427
11.0,10.5,11.5,0.02979,0.002421,-0.002421
12.0,11.5,12.5,0.03053,0.002271,-0.002271
13.0,12.5,13.5,0.03092,0.002005,-0.002005
14.0,13.5,14.5,0.03066,0.001686,-0.001686
15.0,14.5,15.5,0.03004,0.001419,-0.001419
16.0,15.5,16.5,0.02927,0.001251,-0.001251
17.0,16.5,17.5,0.0281,0.001134,-0.001134
18.0,17.5,18.5,0.02703,0.0009928,-0.0009928
19.0,18.5,19.5,0.02551,0.0007479,-0.0007479
20.0,19.5,20.5,0.02457,0.0003499,-0.0003499
21.0,20.5,21.5,0.02322,0.0004101,-0.0004101
22.0,21.5,22.5,0.02223,0.0005391,-0.0005391
23.0,22.5,23.5,0.0213,0.0005078,-0.0005078
24.0,23.5,24.5,0.02058,0.0005142,-0.0005142
25.0,24.5,25.5,0.01965,0.0004971,-0.0004971
26.0,25.5,26.5,0.01912,0.0005218,-0.0005218
27.0,26.5,27.5,0.01827,0.0005235,-0.0005235
28.0,27.5,28.5,0.01774,0.0004686,-0.0004686
29.0,28.5,29.5,0.01705,0.000416,-0.000416
30.0,29.5,30.5,0.01634,0.0004241,-0.0004241
31.0,30.5,31.5,0.01556,0.0004838,-0.0004838
32.0,31.5,32.5,0.01479,0.0005115,-0.0005115
33.0,32.5,33.5,0.01419,0.0005256,-0.0005256
34.0,33.5,34.5,0.01334,0.0004984,-0.0004984
35.0,34.5,35.5,0.01293,0.0005766,-0.0005766
36.0,35.5,36.5,0.01243,0.0006111,-0.0006111
37.0,36.5,37.5,0.01171,0.0006163,-0.0006163
38.0,37.5,38.5,0.0112,0.0006173,-0.0006173
39.0,38.5,39.5,0.01067,0.0006201,-0.0006201
40.0,39.5,40.5,0.01016,0.000615,-0.000615
41.0,40.5,41.5,0.009791,0.0006234,-0.0006234
42.0,41.5,42.5,0.0093,0.0006381,-0.0006381
43.0,42.5,43.5,0.008979,0.0006314,-0.0006314
44.0,43.5,44.5,0.00863,0.0006401,-0.0006401
45.0,44.5,45.5,0.008182,0.0006328,-0.0006328
46.0,45.5,46.5,0.007911,0.0006432,-0.0006432
47.0,46.5,47.5,0.007493,0.000619,-0.000619
48.0,47.5,48.5,0.00712,0.0006111,-0.0006111
49.0,48.5,49.5,0.006809,0.0006037,-0.0006037
50.0,49.5,50.5,0.00648,0.0005927,-0.0005927
51.0,50.5,51.5,0.006182,0.0005883,-0.0005883
52.0,51.5,52.5,0.005925,0.0005774,-0.0005774
53.0,52.5,53.5,0.005608,0.0005624,-0.0005624
54.0,53.5,54.5,0.005354,0.0005569,-0.0005569
55.0,54.5,55.5,0.005031,0.0005379,-0.0005379
56.0,55.5,56.5,0.004772,0.0005233,-0.0005233
57.0,56.5,57.5,0.004515,0.0005084,-0.0005084
58.0,57.5,58.5,0.004329,0.0004997,-0.0004997
59.0,58.5,59.5,0.004096,0.0004845,-0.0004845
60.0,59.5,60.5,0.003885,0.0004706,-0.0004706
61.0,60.5,61.5,0.003625,0.0004493,-0.0004493
62.0,61.5,62.5,0.003441,0.0004362,-0.0004362
63.0,62.5,63.5,0.003244,0.0004203,-0.0004203
