#: table_doi: 10.17182/hepdata.78802.v1/t86
#: name: Table 86
#: description: Set of fit parameters for the multiplicity distribution in pseudorapidity range -2.0 to 2.0 in INEL>0 collisions at center-of-mass energy 8000 GeV.
#: data_file: Table86.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 8000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: NUM,1.0
#: ETARAP,-2.0-2.0
#: CLASS,INEL>0
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',1.01
'n1',0.43
'k1',10.99
'n2',2.54
'k2',39.09
'lambda',2.77

#: NUM,2.0
#: ETARAP,-2.0-2.0
#: CLASS,INEL>0
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',1.0
'n1',0.43
'k1',10.83
'n2',2.54
'k2',38.14
'lambda',2.73

#: NUM,3.0
#: ETARAP,-2.0-2.0
#: CLASS,INEL>0
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',0.99
'n1',0.44
'k1',10.7
'n2',2.55
'k2',37.24
'lambda',2.71

