#: table_doi: 10.17182/hepdata.78802.v1/t24
#: name: Table 24
#: description: Multiplicity distribution in the pseudorapidity region -3.4 to 3.4 for INEL collisions at a centre-of-mass energy of 7000 GeV.
#: data_file: Table24.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 7000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.4-3.4
#: SQRT(S) [GeV],,,7000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
0.0,-0.5,0.5,0.1793,0.09101,-0.09101
1.0,0.5,1.5,0.02289,0.01302,-0.01302
2.0,1.5,2.5,0.016,0.007276,-0.007276
3.0,2.5,3.5,0.01186,0.004032,-0.004032
4.0,3.5,4.5,0.01047,0.002719,-0.002719
5.0,4.5,5.5,0.01069,0.001986,-0.001986
6.0,5.5,6.5,0.01138,0.001598,-0.001598
7.0,6.5,7.5,0.01257,0.00134,-0.00134
8.0,7.5,8.5,0.01373,0.00125,-0.00125
9.0,8.5,9.5,0.01509,0.0015,-0.0015
10.0,9.5,10.5,0.01589,0.001823,-0.001823
11.0,10.5,11.5,0.01675,0.00193,-0.00193
12.0,11.5,12.5,0.01718,0.001907,-0.001907
13.0,12.5,13.5,0.01749,0.002026,-0.002026
14.0,13.5,14.5,0.01746,0.00181,-0.00181
15.0,14.5,15.5,0.01719,0.00168,-0.00168
16.0,15.5,16.5,0.01693,0.0015,-0.0015
17.0,16.5,17.5,0.01632,0.001428,-0.001428
18.0,17.5,18.5,0.01561,0.001145,-0.001145
19.0,18.5,19.5,0.01498,0.001136,-0.001136
20.0,19.5,20.5,0.01418,0.0009765,-0.0009765
21.0,20.5,21.5,0.01345,0.0008629,-0.0008629
22.0,21.5,22.5,0.01287,0.0007347,-0.0007347
23.0,22.5,23.5,0.01222,0.0007114,-0.0007114
24.0,23.5,24.5,0.01173,0.000666,-0.000666
25.0,24.5,25.5,0.01124,0.0006142,-0.0006142
