#: table_doi: 10.17182/hepdata.78802.v1/t14
#: name: Table 14
#: description: Multiplicity distribution in the pseudorapidity region -3.4 to 3.4 for NSD collisions at a centre-of-mass energy of 8000 GeV.
#: data_file: Table14.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 8000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.4-3.4
#: SQRT(S) [GeV],,,8000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
0.0,-0.5,0.5,0.04144,0.008722,-0.008722
1.0,0.5,1.5,0.01293,0.005151,-0.005151
2.0,1.5,2.5,0.008566,0.002869,-0.002869
3.0,2.5,3.5,0.008114,0.002617,-0.002617
4.0,3.5,4.5,0.007965,0.001649,-0.001649
5.0,4.5,5.5,0.008806,0.001319,-0.001319
6.0,5.5,6.5,0.01,0.001208,-0.001208
7.0,6.5,7.5,0.01153,0.001325,-0.001325
8.0,7.5,8.5,0.01333,0.001526,-0.001526
9.0,8.5,9.5,0.01491,0.001736,-0.001736
10.0,9.5,10.5,0.01627,0.001891,-0.001891
11.0,10.5,11.5,0.01726,0.001958,-0.001958
12.0,11.5,12.5,0.01823,0.001964,-0.001964
13.0,12.5,13.5,0.01862,0.001882,-0.001882
14.0,13.5,14.5,0.01853,0.001725,-0.001725
15.0,14.5,15.5,0.01861,0.001581,-0.001581
16.0,15.5,16.5,0.01846,0.00143,-0.00143
17.0,16.5,17.5,0.01801,0.001272,-0.001272
18.0,17.5,18.5,0.01753,0.001138,-0.001138
19.0,18.5,19.5,0.01698,0.001047,-0.001047
20.0,19.5,20.5,0.01639,0.0009339,-0.0009339
21.0,20.5,21.5,0.01561,0.0007699,-0.0007699
22.0,21.5,22.5,0.01527,0.0005694,-0.0005694
23.0,22.5,23.5,0.01483,0.0005182,-0.0005182
24.0,23.5,24.5,0.01422,0.0003755,-0.0003755
25.0,24.5,25.5,0.01383,0.0004752,-0.0004752
26.0,25.5,26.5,0.01341,0.0003963,-0.0003963
27.0,26.5,27.5,0.01308,0.0003454,-0.0003454
28.0,27.5,28.5,0.01283,0.0004214,-0.0004214
29.0,28.5,29.5,0.01245,0.0002717,-0.0002717
30.0,29.5,30.5,0.01219,0.000438,-0.000438
31.0,30.5,31.5,0.01194,0.0005808,-0.0005808
32.0,31.5,32.5,0.01167,0.0005083,-0.0005083
33.0,32.5,33.5,0.0115,0.0005471,-0.0005471
34.0,33.5,34.5,0.01129,0.0005943,-0.0005943
35.0,34.5,35.5,0.01094,0.0007703,-0.0007703
36.0,35.5,36.5,0.01079,0.00043,-0.00043
37.0,36.5,37.5,0.01054,0.0004111,-0.0004111
38.0,37.5,38.5,0.01023,0.0004008,-0.0004008
39.0,38.5,39.5,0.009982,0.0003939,-0.0003939
40.0,39.5,40.5,0.009729,0.0004256,-0.0004256
41.0,40.5,41.5,0.009439,0.0004573,-0.0004573
42.0,41.5,42.5,0.009247,0.0005036,-0.0005036
43.0,42.5,43.5,0.009055,0.0005309,-0.0005309
44.0,43.5,44.5,0.008828,0.0005339,-0.0005339
45.0,44.5,45.5,0.008599,0.0005049,-0.0005049
46.0,45.5,46.5,0.008374,0.0004627,-0.0004627
47.0,46.5,47.5,0.008193,0.0004331,-0.0004331
48.0,47.5,48.5,0.007979,0.0004396,-0.0004396
49.0,48.5,49.5,0.007915,0.0004773,-0.0004773
50.0,49.5,50.5,0.007711,0.0004908,-0.0004908
51.0,50.5,51.5,0.007636,0.0005098,-0.0005098
52.0,51.5,52.5,0.007462,0.0005247,-0.0005247
53.0,52.5,53.5,0.007319,0.0005346,-0.0005346
54.0,53.5,54.5,0.007134,0.0005472,-0.0005472
55.0,54.5,55.5,0.006991,0.0005636,-0.0005636
56.0,55.5,56.5,0.006871,0.0005713,-0.0005713
57.0,56.5,57.5,0.00687,0.0005988,-0.0005988
58.0,57.5,58.5,0.006726,0.0006046,-0.0006046
59.0,58.5,59.5,0.006523,0.0006076,-0.0006076
60.0,59.5,60.5,0.006455,0.000631,-0.000631
61.0,60.5,61.5,0.006288,0.0006335,-0.0006335
62.0,61.5,62.5,0.006144,0.000643,-0.000643
63.0,62.5,63.5,0.006063,0.0006496,-0.0006496
64.0,63.5,64.5,0.005889,0.0006562,-0.0006562
65.0,64.5,65.5,0.005751,0.0006581,-0.0006581
66.0,65.5,66.5,0.005739,0.0006756,-0.0006756
67.0,66.5,67.5,0.005577,0.0006762,-0.0006762
68.0,67.5,68.5,0.005391,0.0006692,-0.0006692
69.0,68.5,69.5,0.005323,0.0006814,-0.0006814
70.0,69.5,70.5,0.005254,0.0006839,-0.0006839
71.0,70.5,71.5,0.005077,0.0006727,-0.0006727
72.0,71.5,72.5,0.004968,0.0006721,-0.0006721
73.0,72.5,73.5,0.004905,0.0006783,-0.0006783
74.0,73.5,74.5,0.004789,0.0006728,-0.0006728
75.0,74.5,75.5,0.004665,0.0006697,-0.0006697
76.0,75.5,76.5,0.004587,0.0006711,-0.0006711
77.0,76.5,77.5,0.004472,0.000662,-0.000662
78.0,77.5,78.5,0.004424,0.0006684,-0.0006684
79.0,78.5,79.5,0.00429,0.0006575,-0.0006575
80.0,79.5,80.5,0.004222,0.0006599,-0.0006599
81.0,80.5,81.5,0.004085,0.0006513,-0.0006513
82.0,81.5,82.5,0.004006,0.0006468,-0.0006468
83.0,82.5,83.5,0.003975,0.0006546,-0.0006546
84.0,83.5,84.5,0.003849,0.0006459,-0.0006459
85.0,84.5,85.5,0.003795,0.0006468,-0.0006468
86.0,85.5,86.5,0.0037,0.0006414,-0.0006414
87.0,86.5,87.5,0.003566,0.000633,-0.000633
88.0,87.5,88.5,0.003565,0.0006424,-0.0006424
89.0,88.5,89.5,0.003479,0.0006373,-0.0006373
90.0,89.5,90.5,0.003425,0.0006385,-0.0006385
91.0,90.5,91.5,0.003323,0.000632,-0.000632
92.0,91.5,92.5,0.003263,0.0006322,-0.0006322
93.0,92.5,93.5,0.00318,0.0006269,-0.0006269
94.0,93.5,94.5,0.003082,0.0006155,-0.0006155
95.0,94.5,95.5,0.003041,0.0006179,-0.0006179
96.0,95.5,96.5,0.002981,0.0006137,-0.0006137
97.0,96.5,97.5,0.002881,0.0006008,-0.0006008
98.0,97.5,98.5,0.002864,0.0006034,-0.0006034
99.0,98.5,99.5,0.002784,0.0005963,-0.0005963
100.0,99.5,100.5,0.002685,0.000583,-0.000583
101.0,100.5,101.5,0.002641,0.0005788,-0.0005788
102.0,101.5,102.5,0.002556,0.0005674,-0.0005674
103.0,102.5,103.5,0.002513,0.000565,-0.000565
104.0,103.5,104.5,0.002451,0.0005558,-0.0005558
105.0,104.5,105.5,0.002408,0.0005512,-0.0005512
106.0,105.5,106.5,0.00233,0.0005387,-0.0005387
107.0,106.5,107.5,0.002276,0.0005331,-0.0005331
