#: table_doi: 10.17182/hepdata.78802.v1/t4
#: name: Table 4
#: description: Multiplicity distribution in the pseudorapidity region -3.4 to 3.4 for NSD collisions at a centre-of-mass energy of 900 GeV.
#: data_file: Table4.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 900
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.4-3.4
#: SQRT(S) [GeV],,,900.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
0.0,-0.5,0.5,0.03289,0.005839,-0.005839
1.0,0.5,1.5,0.01328,0.00475,-0.00475
2.0,1.5,2.5,0.01063,0.003125,-0.003125
3.0,2.5,3.5,0.01002,0.00219,-0.00219
4.0,3.5,4.5,0.01004,0.001753,-0.001753
5.0,4.5,5.5,0.01119,0.001369,-0.001369
6.0,5.5,6.5,0.01301,0.001239,-0.001239
7.0,6.5,7.5,0.01529,0.00134,-0.00134
8.0,7.5,8.5,0.01777,0.001541,-0.001541
9.0,8.5,9.5,0.01996,0.001779,-0.001779
10.0,9.5,10.5,0.02195,0.001995,-0.001995
11.0,10.5,11.5,0.02355,0.002123,-0.002123
12.0,11.5,12.5,0.02526,0.002207,-0.002207
13.0,12.5,13.5,0.0261,0.002138,-0.002138
14.0,13.5,14.5,0.02701,0.00203,-0.00203
15.0,14.5,15.5,0.02746,0.00186,-0.00186
16.0,15.5,16.5,0.02719,0.001657,-0.001657
17.0,16.5,17.5,0.02711,0.001447,-0.001447
18.0,17.5,18.5,0.02644,0.001291,-0.001291
19.0,18.5,19.5,0.02526,0.001132,-0.001132
20.0,19.5,20.5,0.0247,0.001017,-0.001017
21.0,20.5,21.5,0.02349,0.0007974,-0.0007974
22.0,21.5,22.5,0.02242,0.0004303,-0.0004303
23.0,22.5,23.5,0.02128,0.000535,-0.000535
24.0,23.5,24.5,0.02045,0.0006077,-0.0006077
25.0,24.5,25.5,0.01977,0.0005534,-0.0005534
26.0,25.5,26.5,0.01907,0.0004738,-0.0004738
27.0,26.5,27.5,0.01837,0.0004619,-0.0004619
28.0,27.5,28.5,0.01783,0.000432,-0.000432
29.0,28.5,29.5,0.01729,0.0004145,-0.0004145
30.0,29.5,30.5,0.01666,0.0004,-0.0004
31.0,30.5,31.5,0.01608,0.0004204,-0.0004204
32.0,31.5,32.5,0.01559,0.0004696,-0.0004696
33.0,32.5,33.5,0.01478,0.0005054,-0.0005054
34.0,33.5,34.5,0.01433,0.0005379,-0.0005379
35.0,34.5,35.5,0.0137,0.0005613,-0.0005613
36.0,35.5,36.5,0.01332,0.0005334,-0.0005334
37.0,36.5,37.5,0.01276,0.0004418,-0.0004418
38.0,37.5,38.5,0.01212,0.0004289,-0.0004289
39.0,38.5,39.5,0.01171,0.0004027,-0.0004027
40.0,39.5,40.5,0.01116,0.0004183,-0.0004183
41.0,40.5,41.5,0.01069,0.0004239,-0.0004239
42.0,41.5,42.5,0.01029,0.0004744,-0.0004744
