#: table_doi: 10.17182/hepdata.78802.v1/t1
#: name: Table 1
#: description: Multiplicity distribution in the pseudorapidity region -2.0 to 2.0 for NSD collisions at a centre-of-mass energy of 900 GeV.
#: data_file: Table1.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 900
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-2.0-2.0
#: SQRT(S) [GeV],,,900.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
0.0,-0.5,0.5,0.04942,0.003751,-0.003751
1.0,0.5,1.5,0.01868,0.0009147,-0.0009147
2.0,1.5,2.5,0.02195,0.001196,-0.001196
3.0,2.5,3.5,0.0277,0.001622,-0.001622
4.0,3.5,4.5,0.0327,0.001771,-0.001771
5.0,4.5,5.5,0.03692,0.001649,-0.001649
6.0,5.5,6.5,0.03993,0.001511,-0.001511
7.0,6.5,7.5,0.04202,0.001348,-0.001348
8.0,7.5,8.5,0.04267,0.001252,-0.001252
9.0,8.5,9.5,0.04256,0.001146,-0.001146
10.0,9.5,10.5,0.04188,0.001042,-0.001042
11.0,10.5,11.5,0.04007,0.0009601,-0.0009601
12.0,11.5,12.5,0.03828,0.0009396,-0.0009396
13.0,12.5,13.5,0.03586,0.0008688,-0.0008688
14.0,13.5,14.5,0.03376,0.0008056,-0.0008056
15.0,14.5,15.5,0.03131,0.0007035,-0.0007035
16.0,15.5,16.5,0.02936,0.0004849,-0.0004849
17.0,16.5,17.5,0.02756,0.0005569,-0.0005569
18.0,17.5,18.5,0.02569,0.000596,-0.000596
19.0,18.5,19.5,0.02409,0.0006177,-0.0006177
20.0,19.5,20.5,0.02258,0.0006473,-0.0006473
21.0,20.5,21.5,0.02119,0.0006281,-0.0006281
22.0,21.5,22.5,0.0199,0.0006078,-0.0006078
23.0,22.5,23.5,0.01851,0.0005966,-0.0005966
24.0,23.5,24.5,0.0172,0.0005946,-0.0005946
25.0,24.5,25.5,0.01602,0.0005781,-0.0005781
26.0,25.5,26.5,0.01496,0.0005627,-0.0005627
27.0,26.5,27.5,0.01396,0.0005531,-0.0005531
28.0,27.5,28.5,0.01301,0.0005487,-0.0005487
29.0,28.5,29.5,0.01222,0.0005235,-0.0005235
30.0,29.5,30.5,0.01146,0.0005196,-0.0005196
31.0,30.5,31.5,0.0106,0.000497,-0.000497
32.0,31.5,32.5,0.009887,0.0004744,-0.0004744
33.0,32.5,33.5,0.009227,0.0004586,-0.0004586
34.0,33.5,34.5,0.00862,0.0004473,-0.0004473
35.0,34.5,35.5,0.008017,0.0004268,-0.0004268
36.0,35.5,36.5,0.00744,0.000412,-0.000412
37.0,36.5,37.5,0.006909,0.000385,-0.000385
38.0,37.5,38.5,0.006408,0.0003682,-0.0003682
39.0,38.5,39.5,0.005888,0.0003537,-0.0003537
40.0,39.5,40.5,0.005448,0.0003347,-0.0003347
41.0,40.5,41.5,0.00503,0.0003186,-0.0003186
42.0,41.5,42.5,0.004612,0.0002993,-0.0002993
43.0,42.5,43.5,0.004253,0.0002825,-0.0002825
44.0,43.5,44.5,0.003948,0.0002683,-0.0002683
45.0,44.5,45.5,0.003612,0.000251,-0.000251
46.0,45.5,46.5,0.003325,0.0002361,-0.0002361
47.0,46.5,47.5,0.003043,0.0002206,-0.0002206
48.0,47.5,48.5,0.002811,0.000208,-0.000208
49.0,48.5,49.5,0.00258,0.0001947,-0.0001947
50.0,49.5,50.5,0.002348,0.0001806,-0.0001806
51.0,50.5,51.5,0.002151,0.0001686,-0.0001686
52.0,51.5,52.5,0.001956,0.0001562,-0.0001562
53.0,52.5,53.5,0.001774,0.0001443,-0.0001443
54.0,53.5,54.5,0.001619,0.000134,-0.000134
55.0,54.5,55.5,0.001479,0.0001246,-0.0001246
56.0,55.5,56.5,0.001324,0.0001135,-0.0001135
57.0,56.5,57.5,0.001211,0.0001056,-0.0001056
58.0,57.5,58.5,0.001096,9.725e-05,-9.725e-05
59.0,58.5,59.5,0.0009923,8.949e-05,-8.949e-05
60.0,59.5,60.5,0.0008994,8.245e-05,-8.245e-05
61.0,60.5,61.5,0.0008168,7.61e-05,-7.61e-05
62.0,61.5,62.5,0.0007386,6.971e-05,-6.971e-05
63.0,62.5,63.5,0.0006636,6.377e-05,-6.377e-05
64.0,63.5,64.5,0.0006033,5.882e-05,-5.882e-05
65.0,64.5,65.5,0.0005384,5.329e-05,-5.329e-05
66.0,65.5,66.5,0.000493,4.952e-05,-4.952e-05
67.0,66.5,67.5,0.0004489,4.574e-05,-4.574e-05
68.0,67.5,68.5,0.0004004,4.14e-05,-4.14e-05
69.0,68.5,69.5,0.0003598,3.771e-05,-3.771e-05
70.0,69.5,70.5,0.0003254,3.46e-05,-3.46e-05
71.0,70.5,71.5,0.0002948,3.179e-05,-3.179e-05
72.0,71.5,72.5,0.0002599,2.831e-05,-2.831e-05
73.0,72.5,73.5,0.0002364,2.624e-05,-2.624e-05
74.0,73.5,74.5,0.0002125,2.392e-05,-2.392e-05

