#: table_doi: 10.17182/hepdata.78802.v1/t11
#: name: Table 11
#: description: Multiplicity distribution in the pseudorapidity region -2.0 to 2.0 for NSD collisions at a centre-of-mass energy of 8000 GeV.
#: data_file: Table11.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 8000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-2.0-2.0
#: SQRT(S) [GeV],,,8000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
0.0,-0.5,0.5,0.05861,0.005738,-0.005738
1.0,0.5,1.5,0.0159,0.001343,-0.001343
2.0,1.5,2.5,0.01641,0.001101,-0.001101
3.0,2.5,3.5,0.01941,0.001568,-0.001568
4.0,3.5,4.5,0.02287,0.001783,-0.001783
5.0,4.5,5.5,0.02573,0.001697,-0.001697
6.0,5.5,6.5,0.02754,0.00153,-0.00153
7.0,6.5,7.5,0.0284,0.001475,-0.001475
8.0,7.5,8.5,0.02851,0.001411,-0.001411
9.0,8.5,9.5,0.02792,0.001313,-0.001313
10.0,9.5,10.5,0.02746,0.001196,-0.001196
11.0,10.5,11.5,0.02681,0.001073,-0.001073
12.0,11.5,12.5,0.02565,0.0009214,-0.0009214
13.0,12.5,13.5,0.02463,0.0007505,-0.0007505
14.0,13.5,14.5,0.02356,0.0005474,-0.0005474
15.0,14.5,15.5,0.02272,0.0003286,-0.0003286
16.0,15.5,16.5,0.02153,0.0004018,-0.0004018
17.0,16.5,17.5,0.0207,0.0004044,-0.0004044
18.0,17.5,18.5,0.01968,0.0006104,-0.0006104
19.0,18.5,19.5,0.01904,0.0005205,-0.0005205
20.0,19.5,20.5,0.01825,0.0005295,-0.0005295
21.0,20.5,21.5,0.01753,0.0006187,-0.0006187
22.0,21.5,22.5,0.01672,0.0006495,-0.0006495
23.0,22.5,23.5,0.01614,0.001033,-0.001033
24.0,23.5,24.5,0.01552,0.0008439,-0.0008439
25.0,24.5,25.5,0.01495,0.0005908,-0.0005908
26.0,25.5,26.5,0.01441,0.0006095,-0.0006095
27.0,26.5,27.5,0.01394,0.0006359,-0.0006359
28.0,27.5,28.5,0.01331,0.0006419,-0.0006419
29.0,28.5,29.5,0.01293,0.000658,-0.000658
30.0,29.5,30.5,0.01242,0.0006586,-0.0006586
31.0,30.5,31.5,0.012,0.0006495,-0.0006495
32.0,31.5,32.5,0.01166,0.0006449,-0.0006449
33.0,32.5,33.5,0.01119,0.0006265,-0.0006265
34.0,33.5,34.5,0.01082,0.0006088,-0.0006088
35.0,34.5,35.5,0.01053,0.0005967,-0.0005967
36.0,35.5,36.5,0.01018,0.0005816,-0.0005816
37.0,36.5,37.5,0.009929,0.0005736,-0.0005736
38.0,37.5,38.5,0.00957,0.0005589,-0.0005589
39.0,38.5,39.5,0.009253,0.0005479,-0.0005479
40.0,39.5,40.5,0.00889,0.0005393,-0.0005393
41.0,40.5,41.5,0.008647,0.0005376,-0.0005376
42.0,41.5,42.5,0.008321,0.0005295,-0.0005295
43.0,42.5,43.5,0.008133,0.0005322,-0.0005322
44.0,43.5,44.5,0.007839,0.0005273,-0.0005273
45.0,44.5,45.5,0.007618,0.0005271,-0.0005271
46.0,45.5,46.5,0.007296,0.0005148,-0.0005148
47.0,46.5,47.5,0.007065,0.0005114,-0.0005114
48.0,47.5,48.5,0.006767,0.0005027,-0.0005027
49.0,48.5,49.5,0.006615,0.0005007,-0.0005007
50.0,49.5,50.5,0.006404,0.000499,-0.000499
51.0,50.5,51.5,0.00615,0.0004865,-0.0004865
52.0,51.5,52.5,0.005922,0.00048,-0.00048
53.0,52.5,53.5,0.005756,0.000476,-0.000476
54.0,53.5,54.5,0.005561,0.0004679,-0.0004679
55.0,54.5,55.5,0.00535,0.0004624,-0.0004624
56.0,55.5,56.5,0.005186,0.0004566,-0.0004566
57.0,56.5,57.5,0.004912,0.0004381,-0.0004381
58.0,57.5,58.5,0.004752,0.0004315,-0.0004315
59.0,58.5,59.5,0.004652,0.0004296,-0.0004296
60.0,59.5,60.5,0.00442,0.0004174,-0.0004174
61.0,60.5,61.5,0.004264,0.0004089,-0.0004089
62.0,61.5,62.5,0.004109,0.0003963,-0.0003963
63.0,62.5,63.5,0.003977,0.0003898,-0.0003898
64.0,63.5,64.5,0.003808,0.0003784,-0.0003784
65.0,64.5,65.5,0.003628,0.000364,-0.000364
66.0,65.5,66.5,0.003498,0.000353,-0.000353
67.0,66.5,67.5,0.003386,0.0003469,-0.0003469
68.0,67.5,68.5,0.003231,0.0003322,-0.0003322
69.0,68.5,69.5,0.003124,0.0003263,-0.0003263
70.0,69.5,70.5,0.003001,0.0003159,-0.0003159
71.0,70.5,71.5,0.002878,0.0003063,-0.0003063
72.0,71.5,72.5,0.002764,0.0002966,-0.0002966
73.0,72.5,73.5,0.002671,0.0002923,-0.0002923
74.0,73.5,74.5,0.002565,0.0002858,-0.0002858
75.0,74.5,75.5,0.002462,0.0002775,-0.0002775
76.0,75.5,76.5,0.002395,0.0002742,-0.0002742
77.0,76.5,77.5,0.002255,0.0002631,-0.0002631
78.0,77.5,78.5,0.002172,0.0002568,-0.0002568
79.0,78.5,79.5,0.002068,0.0002491,-0.0002491
80.0,79.5,80.5,0.00201,0.0002448,-0.0002448
81.0,80.5,81.5,0.001883,0.0002323,-0.0002323
82.0,81.5,82.5,0.001822,0.0002267,-0.0002267
83.0,82.5,83.5,0.001722,0.000217,-0.000217
84.0,83.5,84.5,0.001669,0.0002138,-0.0002138
85.0,84.5,85.5,0.001577,0.0002033,-0.0002033
86.0,85.5,86.5,0.001508,0.0001961,-0.0001961
87.0,86.5,87.5,0.001451,0.0001904,-0.0001904
88.0,87.5,88.5,0.001372,0.0001814,-0.0001814
89.0,88.5,89.5,0.00131,0.0001722,-0.0001722
90.0,89.5,90.5,0.001249,0.0001651,-0.0001651
91.0,90.5,91.5,0.001198,0.000159,-0.000159
92.0,91.5,92.5,0.00113,0.0001508,-0.0001508
93.0,92.5,93.5,0.001092,0.0001461,-0.0001461
94.0,93.5,94.5,0.00103,0.0001391,-0.0001391
95.0,94.5,95.5,0.0009802,0.0001346,-0.0001346
96.0,95.5,96.5,0.0009363,0.000129,-0.000129
97.0,96.5,97.5,0.0009034,0.0001261,-0.0001261
98.0,97.5,98.5,0.0008564,0.0001222,-0.0001222
99.0,98.5,99.5,0.0008125,0.0001182,-0.0001182
100.0,99.5,100.5,0.0007797,0.0001158,-0.0001158
101.0,100.5,101.5,0.0007462,0.0001135,-0.0001135
102.0,101.5,102.5,0.0007037,0.0001101,-0.0001101
103.0,102.5,103.5,0.0006714,0.0001074,-0.0001074
104.0,103.5,104.5,0.0006339,0.0001036,-0.0001036
105.0,104.5,105.5,0.0006121,0.0001027,-0.0001027
106.0,105.5,106.5,0.0005817,0.0001003,-0.0001003
107.0,106.5,107.5,0.0005489,9.58e-05,-9.58e-05
108.0,107.5,108.5,0.000524,9.33e-05,-9.33e-05
109.0,108.5,109.5,0.0004956,8.952e-05,-8.952e-05
110.0,109.5,110.5,0.0004713,8.614e-05,-8.614e-05
111.0,110.5,111.5,0.0004425,8.234e-05,-8.234e-05
112.0,111.5,112.5,0.0004196,7.795e-05,-7.795e-05
113.0,112.5,113.5,0.0003973,7.355e-05,-7.355e-05
114.0,113.5,114.5,0.0003755,6.984e-05,-6.984e-05
115.0,114.5,115.5,0.0003541,6.515e-05,-6.515e-05
116.0,115.5,116.5,0.0003341,6.148e-05,-6.148e-05
117.0,116.5,117.5,0.0003171,5.786e-05,-5.786e-05
118.0,117.5,118.5,0.0003035,5.51e-05,-5.51e-05
119.0,118.5,119.5,0.0002838,5.086e-05,-5.086e-05
120.0,119.5,120.5,0.0002683,4.791e-05,-4.791e-05
121.0,120.5,121.5,0.0002555,4.513e-05,-4.513e-05
122.0,121.5,122.5,0.0002421,4.228e-05,-4.228e-05
123.0,122.5,123.5,0.0002268,3.939e-05,-3.939e-05
124.0,123.5,124.5,0.0002146,3.69e-05,-3.69e-05
125.0,124.5,125.5,0.0002008,3.445e-05,-3.445e-05
126.0,125.5,126.5,0.0001931,3.331e-05,-3.331e-05
127.0,126.5,127.5,0.0001831,3.146e-05,-3.146e-05
128.0,127.5,128.5,0.0001719,2.981e-05,-2.981e-05
129.0,128.5,129.5,0.0001632,2.872e-05,-2.872e-05
130.0,129.5,130.5,0.0001544,2.744e-05,-2.744e-05
131.0,130.5,131.5,0.0001462,2.636e-05,-2.636e-05
132.0,131.5,132.5,0.0001383,2.487e-05,-2.487e-05
133.0,132.5,133.5,0.0001304,2.341e-05,-2.341e-05
134.0,133.5,134.5,0.000123,2.236e-05,-2.236e-05
135.0,134.5,135.5,0.0001143,2.11e-05,-2.11e-05
136.0,135.5,136.5,0.0001075,1.985e-05,-1.985e-05
137.0,136.5,137.5,0.0001013,1.922e-05,-1.922e-05
138.0,137.5,138.5,9.603e-05,1.857e-05,-1.857e-05

