#: table_doi: 10.17182/hepdata.78802.v1/t79
#: name: Table 79
#: description: Set of fit parameters for the multiplicity distribution in pseudorapidity range -3.4 to 3.4 in INEL>0 collisions at center-of-mass energy 900 GeV.
#: data_file: Table79.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 900
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: NUM,1.0
#: ETARAP,-3.4-3.4
#: CLASS,INEL>0
#: SQRT(S) [GEV],900
'PARNAME','SET'
'alpha',0.95
'n1',0.4
'k1',16.98
'n2',4.26
'k2',39.78
'lambda',3.55

#: NUM,2.0
#: ETARAP,-3.4-3.4
#: CLASS,INEL>0
#: SQRT(S) [GEV],900
'PARNAME','SET'
'alpha',0.95
'n1',0.33
'k1',15.76
'n2',4.8
'k2',36.74
'lambda',3.22

#: NUM,3.0
#: ETARAP,-3.4-3.4
#: CLASS,INEL>0
#: SQRT(S) [GEV],900
'PARNAME','SET'
'alpha',0.95
'n1',0.29
'k1',14.88
'n2',5.5
'k2',34.84
'lambda',3.11

