#: table_doi: 10.17182/hepdata.78802.v1/t74
#: name: Table 74
#: description: Set of fit parameters for the multiplicity distribution in pseudorapidity range -3.4 to 3.4 in INEL collisions at center-of-mass energy 8000 GeV.
#: data_file: Table74.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 8000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: NUM,1.0
#: ETARAP,-3.4-3.4
#: CLASS,INEL
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',0.8
'n1',0.41
'k1',18.01
'n2',2.65
'k2',65.78
'lambda',2.78

#: NUM,2.0
#: ETARAP,-3.4-3.4
#: CLASS,INEL
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',0.78
'n1',0.34
'k1',16.03
'n2',3.08
'k2',57.14
'lambda',2.32

#: NUM,3.0
#: ETARAP,-3.4-3.4
#: CLASS,INEL
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',0.75
'n1',0.27
'k1',14.56
'n2',3.98
'k2',49.55
'lambda',2.05

