#: table_doi: 10.17182/hepdata.78802.v1/t40
#: name: Table 40
#: description: Multiplicity distribution in the pseudorapidity region -3.4 to 5.0 for INEL>0 collisions at a centre-of-mass energy of 7000 GeV.
#: data_file: Table40.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 7000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.4-5.0
#: SQRT(S) [GeV],,,7000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
1.0,0.5,1.5,0.02877,0.01571,-0.01571
2.0,1.5,2.5,0.01864,0.01111,-0.01111
3.0,2.5,3.5,0.01136,0.005258,-0.005258
4.0,3.5,4.5,0.008622,0.003293,-0.003293
5.0,4.5,5.5,0.007936,0.002346,-0.002346
6.0,5.5,6.5,0.008004,0.001825,-0.001825
7.0,6.5,7.5,0.00884,0.00161,-0.00161
8.0,7.5,8.5,0.009594,0.001509,-0.001509
9.0,8.5,9.5,0.01079,0.001591,-0.001591
10.0,9.5,10.5,0.01191,0.001591,-0.001591
11.0,10.5,11.5,0.01314,0.001737,-0.001737
12.0,11.5,12.5,0.01418,0.001958,-0.001958
13.0,12.5,13.5,0.01505,0.002083,-0.002083
14.0,13.5,14.5,0.01582,0.002223,-0.002223
15.0,14.5,15.5,0.01672,0.002157,-0.002157
16.0,15.5,16.5,0.01726,0.002129,-0.002129
17.0,16.5,17.5,0.01728,0.001987,-0.001987
18.0,17.5,18.5,0.01738,0.001812,-0.001812
19.0,18.5,19.5,0.01733,0.001761,-0.001761
20.0,19.5,20.5,0.01699,0.001653,-0.001653
21.0,20.5,21.5,0.01645,0.001415,-0.001415
22.0,21.5,22.5,0.0161,0.001227,-0.001227
23.0,22.5,23.5,0.01542,0.00112,-0.00112
24.0,23.5,24.5,0.01483,0.0008851,-0.0008851
25.0,24.5,25.5,0.01433,0.0008524,-0.0008524
26.0,25.5,26.5,0.01367,0.0007245,-0.0007245
27.0,26.5,27.5,0.01314,0.0007204,-0.0007204
28.0,27.5,28.5,0.01284,0.000685,-0.000685
29.0,28.5,29.5,0.01229,0.0005471,-0.0005471
30.0,29.5,30.5,0.01189,0.0005884,-0.0005884
31.0,30.5,31.5,0.01166,0.0006284,-0.0006284
32.0,31.5,32.5,0.01127,0.000649,-0.000649
33.0,32.5,33.5,0.011,0.000571,-0.000571
34.0,33.5,34.5,0.01094,0.0005519,-0.0005519
35.0,34.5,35.5,0.01066,0.0006062,-0.0006062
36.0,35.5,36.5,0.01048,0.0006397,-0.0006397
37.0,36.5,37.5,0.01026,0.0006337,-0.0006337
38.0,37.5,38.5,0.0101,0.0006701,-0.0006701
39.0,38.5,39.5,0.01002,0.0006313,-0.0006313
40.0,39.5,40.5,0.00983,0.0005315,-0.0005315
41.0,40.5,41.5,0.009593,0.0005465,-0.0005465
