#: table_doi: 10.17182/hepdata.78802.v1/t36
#: name: Table 36
#: description: Multiplicity distribution in the pseudorapidity region -2.0 to 2.0 for INEL>0 collisions at a centre-of-mass energy of 7000 GeV.
#: data_file: Table36.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 7000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-2.0-2.0
#: SQRT(S) [GeV],,,7000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
98.0,97.5,98.5,0.000784,0.0001581,-0.0001581
99.0,98.5,99.5,0.0007378,0.0001572,-0.0001572
100.0,99.5,100.5,0.0006994,0.0001448,-0.0001448
101.0,100.5,101.5,0.000661,0.0001377,-0.0001377
102.0,101.5,102.5,0.0006282,0.0001336,-0.0001336
103.0,102.5,103.5,0.0005931,0.0001275,-0.0001275
104.0,103.5,104.5,0.0005664,0.0001195,-0.0001195
105.0,104.5,105.5,0.0005312,0.0001189,-0.0001189
106.0,105.5,106.5,0.0005068,0.000113,-0.000113
107.0,106.5,107.5,0.0004724,0.0001069,-0.0001069
108.0,107.5,108.5,0.0004489,0.0001027,-0.0001027
109.0,108.5,109.5,0.0004239,9.902e-05,-9.902e-05
110.0,109.5,110.5,0.0004025,9.23e-05,-9.23e-05
111.0,110.5,111.5,0.0003811,9.08e-05,-9.08e-05
112.0,111.5,112.5,0.0003553,8.512e-05,-8.512e-05
113.0,112.5,113.5,0.000341,8.327e-05,-8.327e-05
114.0,113.5,114.5,0.0003212,7.93e-05,-7.93e-05
115.0,114.5,115.5,0.0003027,7.452e-05,-7.452e-05
116.0,115.5,116.5,0.0002869,7.247e-05,-7.247e-05
117.0,116.5,117.5,0.0002705,6.687e-05,-6.687e-05
118.0,117.5,118.5,0.0002561,6.571e-05,-6.571e-05
119.0,118.5,119.5,0.0002416,6.29e-05,-6.29e-05
120.0,119.5,120.5,0.000229,6.047e-05,-6.047e-05
121.0,120.5,121.5,0.0002159,5.837e-05,-5.837e-05
122.0,121.5,122.5,0.0002058,5.504e-05,-5.504e-05
123.0,122.5,123.5,0.0001946,5.375e-05,-5.375e-05
124.0,123.5,124.5,0.0001846,5.176e-05,-5.176e-05
125.0,124.5,125.5,0.0001727,4.81e-05,-4.81e-05
126.0,125.5,126.5,0.0001644,4.638e-05,-4.638e-05
127.0,126.5,127.5,0.0001572,4.5e-05,-4.5e-05
128.0,127.5,128.5,0.0001473,4.287e-05,-4.287e-05
129.0,128.5,129.5,0.0001386,3.985e-05,-3.985e-05
130.0,129.5,130.5,0.0001311,3.887e-05,-3.887e-05
131.0,130.5,131.5,0.0001235,3.751e-05,-3.751e-05
132.0,131.5,132.5,0.0001158,3.463e-05,-3.463e-05
133.0,132.5,133.5,0.0001082,3.25e-05,-3.25e-05
134.0,133.5,134.5,0.000102,3.075e-05,-3.075e-05
135.0,134.5,135.5,9.566e-05,2.989e-05,-2.989e-05
136.0,135.5,136.5,8.976e-05,2.784e-05,-2.784e-05
137.0,136.5,137.5,8.246e-05,2.58e-05,-2.58e-05
138.0,137.5,138.5,7.819e-05,2.529e-05,-2.529e-05
139.0,138.5,139.5,7.218e-05,2.341e-05,-2.341e-05

