#: table_doi: 10.17182/hepdata.78802.v1/t30
#: name: Table 30
#: description: Multiplicity distribution in the pseudorapidity region -3.4 to 5.0 for INEL collisions at a centre-of-mass energy of 8000 GeV.
#: data_file: Table30.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 8000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.4-5.0
#: SQRT(S) [GeV],,,8000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
0.0,-0.5,0.5,0.1358,0.1023,-0.1023
1.0,0.5,1.5,0.03702,0.01678,-0.01678
2.0,1.5,2.5,0.0289,0.01367,-0.01367
3.0,2.5,3.5,0.01312,0.005583,-0.005583
4.0,3.5,4.5,0.009925,0.003529,-0.003529
5.0,4.5,5.5,0.008947,0.002667,-0.002667
6.0,5.5,6.5,0.008874,0.002099,-0.002099
7.0,6.5,7.5,0.009394,0.00187,-0.00187
8.0,7.5,8.5,0.009973,0.001673,-0.001673
9.0,8.5,9.5,0.01085,0.001658,-0.001658
10.0,9.5,10.5,0.01169,0.001645,-0.001645
11.0,10.5,11.5,0.01276,0.001679,-0.001679
12.0,11.5,12.5,0.01356,0.001711,-0.001711
13.0,12.5,13.5,0.01407,0.001749,-0.001749
14.0,13.5,14.5,0.01468,0.001777,-0.001777
15.0,14.5,15.5,0.01486,0.001709,-0.001709
16.0,15.5,16.5,0.01486,0.001582,-0.001582
17.0,16.5,17.5,0.01499,0.001451,-0.001451
18.0,17.5,18.5,0.01464,0.001315,-0.001315
19.0,18.5,19.5,0.01446,0.001217,-0.001217
20.0,19.5,20.5,0.01395,0.001098,-0.001098
21.0,20.5,21.5,0.01362,0.0009878,-0.0009878
22.0,21.5,22.5,0.0131,0.0008187,-0.0008187
23.0,22.5,23.5,0.01268,0.0006711,-0.0006711
24.0,23.5,24.5,0.01216,0.0005385,-0.0005385
25.0,24.5,25.5,0.01169,0.0004618,-0.0004618
26.0,25.5,26.5,0.01112,0.0004218,-0.0004218
27.0,26.5,27.5,0.0108,0.0004024,-0.0004024
28.0,27.5,28.5,0.01047,0.0003446,-0.0003446
29.0,28.5,29.5,0.01009,0.0003352,-0.0003352
30.0,29.5,30.5,0.009724,0.0002531,-0.0002531
31.0,30.5,31.5,0.009493,0.0002806,-0.0002806
32.0,31.5,32.5,0.009163,0.0002219,-0.0002219
33.0,32.5,33.5,0.009032,0.0002447,-0.0002447
34.0,33.5,34.5,0.008723,0.0002166,-0.0002166
35.0,34.5,35.5,0.008453,0.0002618,-0.0002618
36.0,35.5,36.5,0.008314,0.0002941,-0.0002941
37.0,36.5,37.5,0.008286,0.0003232,-0.0003232
38.0,37.5,38.5,0.008094,0.0003205,-0.0003205
39.0,38.5,39.5,0.007778,0.0003169,-0.0003169
40.0,39.5,40.5,0.007727,0.0002991,-0.0002991
41.0,40.5,41.5,0.007627,0.0002867,-0.0002867
42.0,41.5,42.5,0.007384,0.0002913,-0.0002913
43.0,42.5,43.5,0.007301,0.0003104,-0.0003104
44.0,43.5,44.5,0.007039,0.0003358,-0.0003358
45.0,44.5,45.5,0.006919,0.0003672,-0.0003672
46.0,45.5,46.5,0.006884,0.0003848,-0.0003848
47.0,46.5,47.5,0.006681,0.0003793,-0.0003793
48.0,47.5,48.5,0.006487,0.0003681,-0.0003681
49.0,48.5,49.5,0.006318,0.000362,-0.000362
50.0,49.5,50.5,0.006156,0.0003785,-0.0003785
51.0,50.5,51.5,0.006017,0.0003955,-0.0003955
52.0,51.5,52.5,0.005957,0.0004177,-0.0004177
53.0,52.5,53.5,0.005816,0.0004257,-0.0004257
54.0,53.5,54.5,0.005682,0.0004398,-0.0004398
55.0,54.5,55.5,0.005579,0.0004463,-0.0004463
56.0,55.5,56.5,0.005443,0.0004545,-0.0004545
57.0,56.5,57.5,0.005404,0.000465,-0.000465
58.0,57.5,58.5,0.005249,0.0004672,-0.0004672
59.0,58.5,59.5,0.005152,0.0004729,-0.0004729
60.0,59.5,60.5,0.005145,0.000483,-0.000483
61.0,60.5,61.5,0.00506,0.0004899,-0.0004899
62.0,61.5,62.5,0.004985,0.0004988,-0.0004988
63.0,62.5,63.5,0.004857,0.0005004,-0.0005004
64.0,63.5,64.5,0.004828,0.0005109,-0.0005109
65.0,64.5,65.5,0.004655,0.0005065,-0.0005065
66.0,65.5,66.5,0.004614,0.0005157,-0.0005157
67.0,66.5,67.5,0.004533,0.0005192,-0.0005192
68.0,67.5,68.5,0.00442,0.000524,-0.000524
69.0,68.5,69.5,0.004392,0.000537,-0.000537
70.0,69.5,70.5,0.004272,0.0005338,-0.0005338
71.0,70.5,71.5,0.00423,0.000542,-0.000542
72.0,71.5,72.5,0.004159,0.0005461,-0.0005461
73.0,72.5,73.5,0.004076,0.000551,-0.000551
74.0,73.5,74.5,0.004043,0.0005615,-0.0005615
75.0,74.5,75.5,0.003899,0.0005577,-0.0005577
76.0,75.5,76.5,0.003913,0.0005708,-0.0005708
77.0,76.5,77.5,0.003867,0.0005756,-0.0005756
78.0,77.5,78.5,0.003733,0.0005682,-0.0005682
79.0,78.5,79.5,0.003603,0.0005592,-0.0005592
80.0,79.5,80.5,0.003575,0.0005642,-0.0005642
81.0,80.5,81.5,0.003507,0.0005651,-0.0005651
82.0,81.5,82.5,0.003474,0.0005709,-0.0005709
83.0,82.5,83.5,0.003424,0.0005729,-0.0005729
84.0,83.5,84.5,0.003329,0.0005675,-0.0005675
85.0,84.5,85.5,0.003301,0.0005753,-0.0005753
86.0,85.5,86.5,0.00324,0.0005683,-0.0005683
87.0,86.5,87.5,0.003119,0.0005589,-0.0005589
88.0,87.5,88.5,0.003156,0.0005749,-0.0005749
89.0,88.5,89.5,0.003129,0.0005785,-0.0005785
90.0,89.5,90.5,0.002995,0.0005642,-0.0005642
91.0,90.5,91.5,0.002969,0.0005666,-0.0005666
92.0,91.5,92.5,0.00289,0.0005609,-0.0005609
93.0,92.5,93.5,0.002844,0.000559,-0.000559
94.0,93.5,94.5,0.002822,0.0005646,-0.0005646
95.0,94.5,95.5,0.002759,0.0005586,-0.0005586
96.0,95.5,96.5,0.002693,0.0005536,-0.0005536
97.0,96.5,97.5,0.002619,0.0005478,-0.0005478
98.0,97.5,98.5,0.002611,0.0005528,-0.0005528
99.0,98.5,99.5,0.002579,0.000556,-0.000556
100.0,99.5,100.5,0.002495,0.0005438,-0.0005438
101.0,100.5,101.5,0.002482,0.0005501,-0.0005501
102.0,101.5,102.5,0.002428,0.0005438,-0.0005438
103.0,102.5,103.5,0.002328,0.0005283,-0.0005283
104.0,103.5,104.5,0.002314,0.0005343,-0.0005343
105.0,104.5,105.5,0.002269,0.0005292,-0.0005292
106.0,105.5,106.5,0.002231,0.0005274,-0.0005274
107.0,106.5,107.5,0.002152,0.000514,-0.000514
108.0,107.5,108.5,0.002145,0.0005187,-0.0005187
109.0,108.5,109.5,0.002077,0.0005068,-0.0005068
110.0,109.5,110.5,0.002035,0.000501,-0.000501
111.0,110.5,111.5,0.002003,0.0005005,-0.0005005
112.0,111.5,112.5,0.001935,0.0004881,-0.0004881
113.0,112.5,113.5,0.001924,0.0004903,-0.0004903
114.0,113.5,114.5,0.001885,0.0004844,-0.0004844
115.0,114.5,115.5,0.001814,0.0004704,-0.0004704
116.0,115.5,116.5,0.001808,0.0004712,-0.0004712
117.0,116.5,117.5,0.00176,0.0004637,-0.0004637
118.0,117.5,118.5,0.001742,0.0004651,-0.0004651
119.0,118.5,119.5,0.001658,0.0004455,-0.0004455
120.0,119.5,120.5,0.001627,0.0004425,-0.0004425
121.0,120.5,121.5,0.00161,0.0004402,-0.0004402
122.0,121.5,122.5,0.001591,0.0004411,-0.0004411
123.0,122.5,123.5,0.001559,0.0004343,-0.0004343
124.0,123.5,124.5,0.001509,0.0004253,-0.0004253
125.0,124.5,125.5,0.001456,0.0004147,-0.0004147
126.0,125.5,126.5,0.00144,0.0004145,-0.0004145
127.0,126.5,127.5,0.001397,0.0004036,-0.0004036
128.0,127.5,128.5,0.001357,0.0003978,-0.0003978
