#: table_doi: 10.17182/hepdata.78802.v1/t8
#: name: Table 8
#: description: Multiplicity distribution in the pseudorapidity region -3.0 to 3.0 for NSD collisions at a centre-of-mass energy of 7000 GeV.
#: data_file: Table8.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 7000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.0-3.0
#: SQRT(S) [GeV],,,7000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
0.0,-0.5,0.5,0.04768,0.009488,-0.009488
1.0,0.5,1.5,0.009789,0.004622,-0.004622
2.0,1.5,2.5,0.008354,0.003172,-0.003172
3.0,2.5,3.5,0.008811,0.002221,-0.002221
4.0,3.5,4.5,0.01031,0.001953,-0.001953
5.0,4.5,5.5,0.01219,0.001622,-0.001622
6.0,5.5,6.5,0.01431,0.001636,-0.001636
7.0,6.5,7.5,0.0163,0.001565,-0.001565
8.0,7.5,8.5,0.01807,0.001461,-0.001461
9.0,8.5,9.5,0.01946,0.001782,-0.001782
10.0,9.5,10.5,0.02052,0.001983,-0.001983
11.0,10.5,11.5,0.02147,0.002152,-0.002152
12.0,11.5,12.5,0.02198,0.00198,-0.00198
13.0,12.5,13.5,0.02228,0.001857,-0.001857
14.0,13.5,14.5,0.02207,0.001703,-0.001703
15.0,14.5,15.5,0.02139,0.001476,-0.001476
16.0,15.5,16.5,0.02083,0.001338,-0.001338
17.0,16.5,17.5,0.01998,0.001327,-0.001327
18.0,17.5,18.5,0.01906,0.001197,-0.001197
19.0,18.5,19.5,0.01802,0.001008,-0.001008
20.0,19.5,20.5,0.0172,0.0009312,-0.0009312
21.0,20.5,21.5,0.01631,0.0007281,-0.0007281
22.0,21.5,22.5,0.01561,0.0007638,-0.0007638
23.0,22.5,23.5,0.01505,0.0007416,-0.0007416
24.0,23.5,24.5,0.01449,0.0007241,-0.0007241
25.0,24.5,25.5,0.01411,0.0006926,-0.0006926
26.0,25.5,26.5,0.01377,0.0007268,-0.0007268
27.0,26.5,27.5,0.01341,0.0006305,-0.0006305
28.0,27.5,28.5,0.01319,0.00065,-0.00065
29.0,28.5,29.5,0.01284,0.0005995,-0.0005995
30.0,29.5,30.5,0.0125,0.0006148,-0.0006148
31.0,30.5,31.5,0.01226,0.0005445,-0.0005445
32.0,31.5,32.5,0.01198,0.0005647,-0.0005647
33.0,32.5,33.5,0.01166,0.0005375,-0.0005375
