#: table_doi: 10.17182/hepdata.78802.v1/t57
#: name: Table 57
#: description: Set of fit parameters for the multiplicity distribution in pseudorapidity range -2.4 to 2.4 in NSD collisions at center-of-mass energy 8000 GeV.
#: data_file: Table57.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 8000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: NUM,1.0
#: ETARAP,-2.4-2.4
#: CLASS,NSD
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',0.96
'n1',0.27
'k1',14.18
'n2',2.77
'k2',48.59
'lambda',2.7

#: NUM,2.0
#: ETARAP,-2.4-2.4
#: CLASS,NSD
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',0.94
'n1',0.37
'k1',13.71
'n2',2.75
'k2',45.73
'lambda',2.56

#: NUM,3.0
#: ETARAP,-2.4-2.4
#: CLASS,NSD
#: SQRT(S) [GEV],8000
'PARNAME','SET'
'alpha',0.91
'n1',0.36
'k1',13.2
'n2',2.76
'k2',42.69
'lambda',2.47

