#: table_doi: 10.17182/hepdata.78802.v1/t9
#: name: Table 9
#: description: Multiplicity distribution in the pseudorapidity region -3.4 to 3.4 for NSD collisions at a centre-of-mass energy of 7000 GeV.
#: data_file: Table9.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 7000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.4-3.4
#: SQRT(S) [GeV],,,7000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
0.0,-0.5,0.5,0.03893,0.008983,-0.008983
1.0,0.5,1.5,0.01157,0.006479,-0.006479
2.0,1.5,2.5,0.008426,0.00361,-0.00361
3.0,2.5,3.5,0.008335,0.00301,-0.00301
4.0,3.5,4.5,0.008596,0.002079,-0.002079
5.0,4.5,5.5,0.00963,0.001592,-0.001592
6.0,5.5,6.5,0.01118,0.001435,-0.001435
7.0,6.5,7.5,0.01289,0.001248,-0.001248
8.0,7.5,8.5,0.01453,0.001261,-0.001261
9.0,8.5,9.5,0.01621,0.001582,-0.001582
10.0,9.5,10.5,0.01732,0.001975,-0.001975
11.0,10.5,11.5,0.01843,0.002118,-0.002118
12.0,11.5,12.5,0.01917,0.002124,-0.002124
13.0,12.5,13.5,0.01984,0.002295,-0.002295
14.0,13.5,14.5,0.0201,0.002085,-0.002085
15.0,14.5,15.5,0.02016,0.001974,-0.001974
16.0,15.5,16.5,0.01995,0.001775,-0.001775
17.0,16.5,17.5,0.01944,0.001706,-0.001706
18.0,17.5,18.5,0.01881,0.001384,-0.001384
19.0,18.5,19.5,0.01809,0.001377,-0.001377
20.0,19.5,20.5,0.01731,0.001195,-0.001195
21.0,20.5,21.5,0.01649,0.001062,-0.001062
22.0,21.5,22.5,0.01583,0.0009066,-0.0009066
23.0,22.5,23.5,0.01506,0.0008779,-0.0008779
24.0,23.5,24.5,0.01446,0.0008223,-0.0008223
25.0,24.5,25.5,0.0139,0.000761,-0.000761
26.0,25.5,26.5,0.01346,0.000721,-0.000721
27.0,26.5,27.5,0.01301,0.0006697,-0.0006697
28.0,27.5,28.5,0.01273,0.0007262,-0.0007262
29.0,28.5,29.5,0.01234,0.0006862,-0.0006862
30.0,29.5,30.5,0.01222,0.0006804,-0.0006804
31.0,30.5,31.5,0.01196,0.0006564,-0.0006564
32.0,31.5,32.5,0.0117,0.0006012,-0.0006012
33.0,32.5,33.5,0.01142,0.0006383,-0.0006383
34.0,33.5,34.5,0.01126,0.0006818,-0.0006818
35.0,34.5,35.5,0.01094,0.0005775,-0.0005775
36.0,35.5,36.5,0.0108,0.0006278,-0.0006278
37.0,36.5,37.5,0.01051,0.0005128,-0.0005128
38.0,37.5,38.5,0.01029,0.0004789,-0.0004789
39.0,38.5,39.5,0.009958,0.00055,-0.00055
40.0,39.5,40.5,0.009818,0.0004779,-0.0004779
41.0,40.5,41.5,0.009466,0.0004217,-0.0004217
42.0,41.5,42.5,0.009394,0.0005688,-0.0005688
43.0,42.5,43.5,0.008988,0.0005312,-0.0005312
44.0,43.5,44.5,0.008775,0.0005861,-0.0005861
45.0,44.5,45.5,0.008603,0.0005414,-0.0005414
46.0,45.5,46.5,0.008346,0.0004978,-0.0004978
47.0,46.5,47.5,0.008168,0.0005195,-0.0005195
48.0,47.5,48.5,0.007994,0.000464,-0.000464
49.0,48.5,49.5,0.0078,0.0005594,-0.0005594
50.0,49.5,50.5,0.007656,0.0004716,-0.0004716
51.0,50.5,51.5,0.007489,0.0005021,-0.0005021
52.0,51.5,52.5,0.00735,0.0005664,-0.0005664
53.0,52.5,53.5,0.007207,0.0005158,-0.0005158
54.0,53.5,54.5,0.007019,0.0005498,-0.0005498
55.0,54.5,55.5,0.006875,0.0005864,-0.0005864
56.0,55.5,56.5,0.006782,0.0005626,-0.0005626
57.0,56.5,57.5,0.006618,0.0005936,-0.0005936
58.0,57.5,58.5,0.006489,0.0005791,-0.0005791
59.0,58.5,59.5,0.006389,0.0005824,-0.0005824
60.0,59.5,60.5,0.00629,0.000619,-0.000619
61.0,60.5,61.5,0.006117,0.0005801,-0.0005801
62.0,61.5,62.5,0.00602,0.0005961,-0.0005961
63.0,62.5,63.5,0.005904,0.0006506,-0.0006506
64.0,63.5,64.5,0.005817,0.0006069,-0.0006069
65.0,64.5,65.5,0.005647,0.0005993,-0.0005993
66.0,65.5,66.5,0.005574,0.0006278,-0.0006278
67.0,66.5,67.5,0.005384,0.0006245,-0.0006245
68.0,67.5,68.5,0.005303,0.0006409,-0.0006409
69.0,68.5,69.5,0.005213,0.0006493,-0.0006493
70.0,69.5,70.5,0.005092,0.000635,-0.000635
71.0,70.5,71.5,0.004985,0.0006561,-0.0006561
72.0,71.5,72.5,0.004892,0.0006562,-0.0006562
73.0,72.5,73.5,0.004774,0.0006412,-0.0006412
74.0,73.5,74.5,0.00466,0.0006704,-0.0006704
75.0,74.5,75.5,0.004549,0.0006412,-0.0006412
76.0,75.5,76.5,0.004427,0.0006263,-0.0006263
77.0,76.5,77.5,0.004368,0.0006579,-0.0006579
78.0,77.5,78.5,0.004258,0.000658,-0.000658
79.0,78.5,79.5,0.00418,0.000641,-0.000641
80.0,79.5,80.5,0.004058,0.0006383,-0.0006383
81.0,80.5,81.5,0.003954,0.0006337,-0.0006337
82.0,81.5,82.5,0.003916,0.0006152,-0.0006152
83.0,82.5,83.5,0.003798,0.0006161,-0.0006161
84.0,83.5,84.5,0.003701,0.0006043,-0.0006043
85.0,84.5,85.5,0.003614,0.0005868,-0.0005868
86.0,85.5,86.5,0.003548,0.0006129,-0.0006129
87.0,86.5,87.5,0.003468,0.0006044,-0.0006044
88.0,87.5,88.5,0.0034,0.0006037,-0.0006037
89.0,88.5,89.5,0.003287,0.0005835,-0.0005835
90.0,89.5,90.5,0.003218,0.0005838,-0.0005838
91.0,90.5,91.5,0.00316,0.0005802,-0.0005802
92.0,91.5,92.5,0.003096,0.0005722,-0.0005722
93.0,92.5,93.5,0.002978,0.0005595,-0.0005595
94.0,93.5,94.5,0.002934,0.000566,-0.000566
95.0,94.5,95.5,0.002851,0.0005568,-0.0005568
96.0,95.5,96.5,0.002791,0.0005587,-0.0005587
97.0,96.5,97.5,0.002735,0.0005458,-0.0005458
98.0,97.5,98.5,0.00266,0.0005372,-0.0005372
99.0,98.5,99.5,0.002598,0.0005281,-0.0005281
100.0,99.5,100.5,0.002529,0.0005281,-0.0005281
101.0,100.5,101.5,0.002481,0.0005364,-0.0005364
102.0,101.5,102.5,0.002399,0.0005147,-0.0005147
103.0,102.5,103.5,0.002354,0.0005275,-0.0005275
104.0,103.5,104.5,0.002303,0.0005176,-0.0005176
105.0,104.5,105.5,0.002244,0.0005105,-0.0005105
106.0,105.5,106.5,0.002181,0.0005042,-0.0005042
107.0,106.5,107.5,0.002122,0.0005039,-0.0005039
108.0,107.5,108.5,0.002071,0.0004964,-0.0004964
109.0,108.5,109.5,0.002014,0.0004839,-0.0004839
110.0,109.5,110.5,0.001964,0.0004872,-0.0004872
111.0,110.5,111.5,0.001907,0.0004737,-0.0004737
112.0,111.5,112.5,0.001868,0.0004851,-0.0004851
113.0,112.5,113.5,0.001814,0.0004701,-0.0004701
114.0,113.5,114.5,0.001764,0.0004629,-0.0004629
115.0,114.5,115.5,0.001711,0.0004505,-0.0004505
116.0,115.5,116.5,0.001663,0.0004455,-0.0004455
117.0,116.5,117.5,0.001609,0.0004281,-0.0004281
118.0,117.5,118.5,0.001562,0.0004263,-0.0004263
119.0,118.5,119.5,0.001531,0.0004269,-0.0004269
120.0,119.5,120.5,0.001473,0.0004056,-0.0004056
121.0,120.5,121.5,0.00144,0.0004033,-0.0004033
122.0,121.5,122.5,0.001402,0.0003903,-0.0003903
123.0,122.5,123.5,0.001356,0.0003893,-0.0003893
124.0,123.5,124.5,0.001322,0.0003837,-0.0003837
125.0,124.5,125.5,0.001279,0.0003728,-0.0003728
126.0,125.5,126.5,0.001239,0.0003724,-0.0003724
127.0,126.5,127.5,0.001202,0.0003599,-0.0003599
128.0,127.5,128.5,0.001172,0.0003502,-0.0003502
129.0,128.5,129.5,0.001126,0.0003394,-0.0003394
130.0,129.5,130.5,0.001101,0.0003326,-0.0003326
131.0,130.5,131.5,0.00107,0.0003332,-0.0003332
132.0,131.5,132.5,0.001036,0.0003173,-0.0003173
133.0,132.5,133.5,0.001002,0.0003189,-0.0003189
134.0,133.5,134.5,0.0009751,0.0003087,-0.0003087
135.0,134.5,135.5,0.0009451,0.0003016,-0.0003016
136.0,135.5,136.5,0.0009217,0.0002947,-0.0002947
137.0,136.5,137.5,0.0008852,0.0002881,-0.0002881
138.0,137.5,138.5,0.0008608,0.0002846,-0.0002846
139.0,138.5,139.5,0.0008349,0.0002767,-0.0002767
140.0,139.5,140.5,0.000798,0.0002659,-0.0002659
141.0,140.5,141.5,0.0007897,0.0002683,-0.0002683
142.0,141.5,142.5,0.000759,0.0002609,-0.0002609
143.0,142.5,143.5,0.0007355,0.0002555,-0.0002555
144.0,143.5,144.5,0.000712,0.0002495,-0.0002495
145.0,144.5,145.5,0.0006927,0.0002424,-0.0002424
146.0,145.5,146.5,0.0006709,0.0002371,-0.0002371
147.0,146.5,147.5,0.0006496,0.0002344,-0.0002344
148.0,147.5,148.5,0.0006351,0.0002293,-0.0002293
149.0,148.5,149.5,0.0006092,0.0002195,-0.0002195
150.0,149.5,150.5,0.0005911,0.00022,-0.00022
151.0,150.5,151.5,0.0005704,0.0002145,-0.0002145
152.0,151.5,152.5,0.0005512,0.000208,-0.000208
153.0,152.5,153.5,0.0005341,0.0001993,-0.0001993
154.0,153.5,154.5,0.0005164,0.000198,-0.000198
155.0,154.5,155.5,0.0005026,0.0001993,-0.0001993
156.0,155.5,156.5,0.0004849,0.0001875,-0.0001875
157.0,156.5,157.5,0.000469,0.0001852,-0.0001852
158.0,157.5,158.5,0.0004563,0.0001835,-0.0001835
159.0,158.5,159.5,0.0004402,0.0001818,-0.0001818
160.0,159.5,160.5,0.0004275,0.0001762,-0.0001762
161.0,160.5,161.5,0.0004144,0.0001694,-0.0001694
162.0,161.5,162.5,0.000398,0.0001646,-0.0001646
163.0,162.5,163.5,0.0003869,0.0001638,-0.0001638
164.0,163.5,164.5,0.0003721,0.0001581,-0.0001581
165.0,164.5,165.5,0.0003569,0.0001546,-0.0001546
166.0,165.5,166.5,0.0003471,0.0001505,-0.0001505
167.0,166.5,167.5,0.000337,0.0001474,-0.0001474
168.0,167.5,168.5,0.0003238,0.0001421,-0.0001421
169.0,168.5,169.5,0.000311,0.000139,-0.000139
170.0,169.5,170.5,0.0003011,0.0001356,-0.0001356
171.0,170.5,171.5,0.0002921,0.000131,-0.000131
172.0,171.5,172.5,0.0002819,0.0001289,-0.0001289
173.0,172.5,173.5,0.0002722,0.0001259,-0.0001259
174.0,173.5,174.5,0.0002643,0.0001211,-0.0001211
175.0,174.5,175.5,0.0002535,0.0001189,-0.0001189
176.0,175.5,176.5,0.0002446,0.0001149,-0.0001149
177.0,176.5,177.5,0.0002361,0.0001109,-0.0001109
178.0,177.5,178.5,0.0002262,0.0001073,-0.0001073
179.0,178.5,179.5,0.0002179,0.0001032,-0.0001032
180.0,179.5,180.5,0.0002104,0.0001009,-0.0001009
181.0,180.5,181.5,0.0002023,9.735e-05,-9.735e-05
182.0,181.5,182.5,0.0001963,9.52e-05,-9.52e-05
183.0,182.5,183.5,0.0001893,9.295e-05,-9.295e-05
184.0,183.5,184.5,0.000182,8.922e-05,-8.922e-05
185.0,184.5,185.5,0.0001746,8.667e-05,-8.667e-05
186.0,185.5,186.5,0.0001684,8.345e-05,-8.345e-05
187.0,186.5,187.5,0.000162,8.115e-05,-8.115e-05
188.0,187.5,188.5,0.0001557,7.871e-05,-7.871e-05
189.0,188.5,189.5,0.0001493,7.532e-05,-7.532e-05
190.0,189.5,190.5,0.000145,7.402e-05,-7.402e-05
191.0,190.5,191.5,0.0001397,7.226e-05,-7.226e-05
192.0,191.5,192.5,0.0001339,6.954e-05,-6.954e-05
193.0,192.5,193.5,0.0001276,6.614e-05,-6.614e-05
194.0,193.5,194.5,0.0001227,6.312e-05,-6.312e-05
195.0,194.5,195.5,0.0001175,6.114e-05,-6.114e-05
196.0,195.5,196.5,0.0001141,5.956e-05,-5.956e-05
197.0,196.5,197.5,0.000109,5.703e-05,-5.703e-05
198.0,197.5,198.5,0.0001036,5.466e-05,-5.466e-05
199.0,198.5,199.5,0.0001006,5.382e-05,-5.382e-05
200.0,199.5,200.5,9.644e-05,5.233e-05,-5.233e-05
201.0,200.5,201.5,9.32e-05,4.991e-05,-4.991e-05
202.0,201.5,202.5,8.834e-05,4.855e-05,-4.855e-05
203.0,202.5,203.5,8.5e-05,4.653e-05,-4.653e-05
204.0,203.5,204.5,8.147e-05,4.525e-05,-4.525e-05
205.0,204.5,205.5,7.798e-05,4.374e-05,-4.374e-05
206.0,205.5,206.5,7.459e-05,4.237e-05,-4.237e-05
207.0,206.5,207.5,7.188e-05,4.114e-05,-4.114e-05
208.0,207.5,208.5,6.874e-05,3.925e-05,-3.925e-05
