#: table_doi: 10.17182/hepdata.78802.v1/t6
#: name: Table 6
#: description: Multiplicity distribution in the pseudorapidity region -2.0 to 2.0 for NSD collisions at a centre-of-mass energy of 7000 GeV.
#: data_file: Table6.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 7000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-2.0-2.0
#: SQRT(S) [GeV],,,7000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
0.0,-0.5,0.5,0.05846,0.006415,-0.006415
1.0,0.5,1.5,0.01356,0.001355,-0.001355
2.0,1.5,2.5,0.01644,0.00115,-0.00115
3.0,2.5,3.5,0.02041,0.001762,-0.001762
4.0,3.5,4.5,0.02456,0.001919,-0.001919
5.0,4.5,5.5,0.02726,0.001766,-0.001766
6.0,5.5,6.5,0.02915,0.001337,-0.001337
7.0,6.5,7.5,0.03015,0.001269,-0.001269
8.0,7.5,8.5,0.03066,0.0009672,-0.0009672
9.0,8.5,9.5,0.03035,0.000961,-0.000961
10.0,9.5,10.5,0.0297,0.0008974,-0.0008974
11.0,10.5,11.5,0.02856,0.0006577,-0.0006577
12.0,11.5,12.5,0.02718,0.0006551,-0.0006551
13.0,12.5,13.5,0.0257,0.0006556,-0.0006556
14.0,13.5,14.5,0.02418,0.0005186,-0.0005186
15.0,14.5,15.5,0.02294,0.0003661,-0.0003661
16.0,15.5,16.5,0.02174,0.000444,-0.000444
17.0,16.5,17.5,0.02056,0.0003607,-0.0003607
18.0,17.5,18.5,0.01978,0.00049,-0.00049
19.0,18.5,19.5,0.0189,0.0004455,-0.0004455
20.0,19.5,20.5,0.01809,0.0004527,-0.0004527
21.0,20.5,21.5,0.01751,0.0005202,-0.0005202
22.0,21.5,22.5,0.01668,0.0004859,-0.0004859
23.0,22.5,23.5,0.01598,0.0004735,-0.0004735
24.0,23.5,24.5,0.01536,0.0005234,-0.0005234
25.0,24.5,25.5,0.01481,0.0005845,-0.0005845
26.0,25.5,26.5,0.01411,0.0006146,-0.0006146
27.0,26.5,27.5,0.01362,0.0005378,-0.0005378
28.0,27.5,28.5,0.01311,0.0005508,-0.0005508
29.0,28.5,29.5,0.01263,0.0005195,-0.0005195
30.0,29.5,30.5,0.01225,0.0005478,-0.0005478
31.0,30.5,31.5,0.01179,0.0005441,-0.0005441
32.0,31.5,32.5,0.01142,0.000564,-0.000564
33.0,32.5,33.5,0.01107,0.000543,-0.000543
34.0,33.5,34.5,0.01068,0.0005646,-0.0005646
35.0,34.5,35.5,0.01034,0.0005556,-0.0005556
36.0,35.5,36.5,0.01002,0.0005524,-0.0005524
37.0,36.5,37.5,0.009737,0.0005538,-0.0005538
38.0,37.5,38.5,0.009352,0.0005775,-0.0005775
39.0,38.5,39.5,0.009109,0.0005351,-0.0005351
40.0,39.5,40.5,0.008786,0.0005605,-0.0005605
41.0,40.5,41.5,0.008437,0.0005437,-0.0005437
42.0,41.5,42.5,0.008161,0.0005053,-0.0005053
43.0,42.5,43.5,0.007925,0.00053,-0.00053
44.0,43.5,44.5,0.007677,0.0005225,-0.0005225
45.0,44.5,45.5,0.007323,0.0005435,-0.0005435
46.0,45.5,46.5,0.007111,0.0005397,-0.0005397
47.0,46.5,47.5,0.006879,0.0005237,-0.0005237
48.0,47.5,48.5,0.006593,0.0005252,-0.0005252
