#: table_doi: 10.17182/hepdata.78802.v1/t17
#: name: Table 17
#: description: Multiplicity distribution in the pseudorapidity region -2.4 to 2.4 for INEL collisions at a centre-of-mass energy of 900 GeV.
#: data_file: Table17.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 900
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-2.4-2.4
#: SQRT(S) [GeV],,,900.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
0.0,-0.5,0.5,0.1792,0.03724,-0.03724
1.0,0.5,1.5,0.02066,0.003197,-0.003197
2.0,1.5,2.5,0.01997,0.002403,-0.002403
3.0,2.5,3.5,0.02014,0.002007,-0.002007
4.0,3.5,4.5,0.02245,0.002037,-0.002037
5.0,4.5,5.5,0.02555,0.00213,-0.00213
6.0,5.5,6.5,0.02767,0.002107,-0.002107
7.0,6.5,7.5,0.02981,0.002101,-0.002101
8.0,7.5,8.5,0.03109,0.002071,-0.002071
9.0,8.5,9.5,0.03167,0.001995,-0.001995
10.0,9.5,10.5,0.03178,0.001813,-0.001813
11.0,10.5,11.5,0.03124,0.001492,-0.001492
12.0,11.5,12.5,0.03021,0.001113,-0.001113
13.0,12.5,13.5,0.02894,0.0008033,-0.0008033
14.0,13.5,14.5,0.02745,0.0006515,-0.0006515
15.0,14.5,15.5,0.02556,0.0005804,-0.0005804
16.0,15.5,16.5,0.02403,0.0005038,-0.0005038
17.0,16.5,17.5,0.0227,0.0004974,-0.0004974
18.0,17.5,18.5,0.02111,0.0002542,-0.0002542
19.0,18.5,19.5,0.01997,0.0003621,-0.0003621
20.0,19.5,20.5,0.01889,0.0004733,-0.0004733
21.0,20.5,21.5,0.01798,0.0004787,-0.0004787
22.0,21.5,22.5,0.01706,0.0004266,-0.0004266
23.0,22.5,23.5,0.0163,0.0003192,-0.0003192
24.0,23.5,24.5,0.01545,0.0001577,-0.0001577
25.0,24.5,25.5,0.01461,0.0001138,-0.0001138
26.0,25.5,26.5,0.01393,0.0002888,-0.0002888
27.0,26.5,27.5,0.01308,0.0003955,-0.0003955
28.0,27.5,28.5,0.0123,0.0004602,-0.0004602
29.0,28.5,29.5,0.01155,0.0004643,-0.0004643
30.0,29.5,30.5,0.01084,0.0004729,-0.0004729
31.0,30.5,31.5,0.01031,0.0004875,-0.0004875
32.0,31.5,32.5,0.009664,0.0004915,-0.0004915
33.0,32.5,33.5,0.009239,0.0005092,-0.0005092
34.0,33.5,34.5,0.008684,0.0005016,-0.0005016
35.0,34.5,35.5,0.008234,0.0005074,-0.0005074
36.0,35.5,36.5,0.007706,0.0004944,-0.0004944
37.0,36.5,37.5,0.007307,0.0004938,-0.0004938
38.0,37.5,38.5,0.006919,0.0004951,-0.0004951
39.0,38.5,39.5,0.006587,0.0004827,-0.0004827
40.0,39.5,40.5,0.006165,0.0004713,-0.0004713
41.0,40.5,41.5,0.005825,0.0004605,-0.0004605
42.0,41.5,42.5,0.00549,0.0004479,-0.0004479
43.0,42.5,43.5,0.005132,0.0004342,-0.0004342
44.0,43.5,44.5,0.004825,0.0004205,-0.0004205
45.0,44.5,45.5,0.004533,0.0004104,-0.0004104
46.0,45.5,46.5,0.004242,0.0003976,-0.0003976
47.0,46.5,47.5,0.003982,0.0003829,-0.0003829
48.0,47.5,48.5,0.003727,0.0003694,-0.0003694
49.0,48.5,49.5,0.003466,0.0003538,-0.0003538
50.0,49.5,50.5,0.003271,0.0003403,-0.0003403
51.0,50.5,51.5,0.003062,0.0003288,-0.0003288
52.0,51.5,52.5,0.002824,0.0003071,-0.0003071
53.0,52.5,53.5,0.002675,0.000302,-0.000302
54.0,53.5,54.5,0.00249,0.0002855,-0.0002855
55.0,54.5,55.5,0.002317,0.0002751,-0.0002751
56.0,55.5,56.5,0.002134,0.0002588,-0.0002588
57.0,56.5,57.5,0.002003,0.0002483,-0.0002483
58.0,57.5,58.5,0.001849,0.0002342,-0.0002342
59.0,58.5,59.5,0.001714,0.0002215,-0.0002215
60.0,59.5,60.5,0.001597,0.0002107,-0.0002107
61.0,60.5,61.5,0.001478,0.0001988,-0.0001988
62.0,61.5,62.5,0.001386,0.00019,-0.00019
63.0,62.5,63.5,0.001268,0.000177,-0.000177
64.0,63.5,64.5,0.001179,0.0001677,-0.0001677
65.0,64.5,65.5,0.001097,0.0001588,-0.0001588
66.0,65.5,66.5,0.001008,0.0001485,-0.0001485
67.0,66.5,67.5,0.0009397,0.0001408,-0.0001408
68.0,67.5,68.5,0.0008771,0.0001336,-0.0001336
69.0,68.5,69.5,0.0007925,0.0001226,-0.0001226
70.0,69.5,70.5,0.0007453,0.0001171,-0.0001171
71.0,70.5,71.5,0.0006777,0.0001084,-0.0001084
72.0,71.5,72.5,0.0006297,0.0001022,-0.0001022
73.0,72.5,73.5,0.0005827,9.608e-05,-9.608e-05
74.0,73.5,74.5,0.0005416,9.06e-05,-9.06e-05
75.0,74.5,75.5,0.000494,8.393e-05,-8.393e-05
76.0,75.5,76.5,0.0004491,7.737e-05,-7.737e-05
77.0,76.5,77.5,0.0004152,7.233e-05,-7.233e-05
78.0,77.5,78.5,0.0003802,6.748e-05,-6.748e-05
79.0,78.5,79.5,0.0003528,6.354e-05,-6.354e-05
80.0,79.5,80.5,0.0003228,5.897e-05,-5.897e-05
81.0,80.5,81.5,0.0002944,5.47e-05,-5.47e-05
82.0,81.5,82.5,0.0002715,5.1e-05,-5.1e-05
83.0,82.5,83.5,0.0002448,4.662e-05,-4.662e-05
84.0,83.5,84.5,0.0002255,4.353e-05,-4.353e-05
85.0,84.5,85.5,0.0002043,4.001e-05,-4.001e-05
86.0,85.5,86.5,0.00019,3.799e-05,-3.799e-05
87.0,86.5,87.5,0.0001699,3.412e-05,-3.412e-05
88.0,87.5,88.5,0.0001563,3.188e-05,-3.188e-05

