#: table_doi: 10.17182/hepdata.78802.v1/t15
#: name: Table 15
#: description: Multiplicity distribution in the pseudorapidity region -3.4 to 5.0 for NSD collisions at a centre-of-mass energy of 8000 GeV.
#: data_file: Table15.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 8000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.4-5.0
#: SQRT(S) [GeV],,,8000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
98.0,97.5,98.5,0.003422,0.0007246,-0.0007246
99.0,98.5,99.5,0.003367,0.0007258,-0.0007258
100.0,99.5,100.5,0.00332,0.0007236,-0.0007236
101.0,100.5,101.5,0.003271,0.000725,-0.000725
102.0,101.5,102.5,0.003193,0.0007152,-0.0007152
103.0,102.5,103.5,0.003124,0.000709,-0.000709
104.0,103.5,104.5,0.003079,0.0007109,-0.0007109
105.0,104.5,105.5,0.003011,0.0007021,-0.0007021
106.0,105.5,106.5,0.002975,0.0007035,-0.0007035
107.0,106.5,107.5,0.002909,0.0006947,-0.0006947
108.0,107.5,108.5,0.002857,0.000691,-0.000691
109.0,108.5,109.5,0.002768,0.0006753,-0.0006753
110.0,109.5,110.5,0.002728,0.0006715,-0.0006715
111.0,110.5,111.5,0.002682,0.0006704,-0.0006704
112.0,111.5,112.5,0.002616,0.0006599,-0.0006599
113.0,112.5,113.5,0.002558,0.000652,-0.000652
114.0,113.5,114.5,0.002535,0.0006515,-0.0006515
115.0,114.5,115.5,0.002447,0.0006345,-0.0006345
116.0,115.5,116.5,0.002419,0.0006306,-0.0006306
117.0,116.5,117.5,0.002353,0.0006199,-0.0006199
118.0,117.5,118.5,0.002321,0.0006197,-0.0006197
119.0,118.5,119.5,0.002237,0.0006013,-0.0006013
120.0,119.5,120.5,0.002193,0.0005964,-0.0005964
121.0,120.5,121.5,0.002163,0.0005913,-0.0005913
122.0,121.5,122.5,0.002135,0.000592,-0.000592
123.0,122.5,123.5,0.00207,0.000577,-0.000577
124.0,123.5,124.5,0.002033,0.000573,-0.000573
125.0,124.5,125.5,0.001957,0.0005573,-0.0005573
126.0,125.5,126.5,0.001931,0.0005559,-0.0005559
127.0,126.5,127.5,0.001891,0.0005464,-0.0005464
128.0,127.5,128.5,0.001834,0.0005375,-0.0005375
129.0,128.5,129.5,0.0018,0.0005336,-0.0005336
130.0,129.5,130.5,0.001795,0.0005366,-0.0005366
131.0,130.5,131.5,0.001715,0.0005172,-0.0005172
132.0,131.5,132.5,0.001706,0.0005185,-0.0005185
133.0,132.5,133.5,0.001646,0.000509,-0.000509
134.0,133.5,134.5,0.00162,0.0005043,-0.0005043
135.0,134.5,135.5,0.001569,0.0004945,-0.0004945
136.0,135.5,136.5,0.001528,0.0004856,-0.0004856
137.0,136.5,137.5,0.001522,0.0004897,-0.0004897
138.0,137.5,138.5,0.001498,0.0004862,-0.0004862
139.0,138.5,139.5,0.001444,0.0004741,-0.0004741
140.0,139.5,140.5,0.001412,0.0004654,-0.0004654
141.0,140.5,141.5,0.001376,0.0004611,-0.0004611
142.0,141.5,142.5,0.001337,0.0004513,-0.0004513
143.0,142.5,143.5,0.001312,0.0004469,-0.0004469
144.0,143.5,144.5,0.001278,0.0004406,-0.0004406
145.0,144.5,145.5,0.001256,0.000436,-0.000436
146.0,145.5,146.5,0.001243,0.0004358,-0.0004358
147.0,146.5,147.5,0.001194,0.0004233,-0.0004233
148.0,147.5,148.5,0.001181,0.0004218,-0.0004218
149.0,148.5,149.5,0.001139,0.0004119,-0.0004119
150.0,149.5,150.5,0.001127,0.0004097,-0.0004097
151.0,150.5,151.5,0.001091,0.0004013,-0.0004013
152.0,151.5,152.5,0.001067,0.0003937,-0.0003937
153.0,152.5,153.5,0.001037,0.0003877,-0.0003877
154.0,153.5,154.5,0.001008,0.0003815,-0.0003815
155.0,154.5,155.5,0.0009782,0.000372,-0.000372
156.0,155.5,156.5,0.0009559,0.0003664,-0.0003664
157.0,156.5,157.5,0.0009451,0.0003658,-0.0003658
158.0,157.5,158.5,0.0009178,0.0003592,-0.0003592
159.0,158.5,159.5,0.0008969,0.0003524,-0.0003524
160.0,159.5,160.5,0.0008697,0.0003457,-0.0003457
161.0,160.5,161.5,0.0008556,0.0003422,-0.0003422
162.0,161.5,162.5,0.0008207,0.0003317,-0.0003317
163.0,162.5,163.5,0.000813,0.0003311,-0.0003311
164.0,163.5,164.5,0.0007891,0.0003237,-0.0003237
165.0,164.5,165.5,0.0007668,0.0003173,-0.0003173
166.0,165.5,166.5,0.0007547,0.000314,-0.000314
167.0,166.5,167.5,0.0007238,0.0003039,-0.0003039
168.0,167.5,168.5,0.0007143,0.000302,-0.000302
169.0,168.5,169.5,0.0006893,0.000294,-0.000294
170.0,169.5,170.5,0.0006769,0.0002916,-0.0002916
171.0,170.5,171.5,0.0006486,0.0002802,-0.0002802
172.0,171.5,172.5,0.0006363,0.0002771,-0.0002771
173.0,172.5,173.5,0.0006172,0.0002695,-0.0002695
174.0,173.5,174.5,0.0006028,0.0002655,-0.0002655
175.0,174.5,175.5,0.0005859,0.0002598,-0.0002598
176.0,175.5,176.5,0.0005679,0.0002538,-0.0002538
177.0,176.5,177.5,0.0005488,0.0002474,-0.0002474
178.0,177.5,178.5,0.0005317,0.0002404,-0.0002404
179.0,178.5,179.5,0.0005258,0.0002401,-0.0002401
180.0,179.5,180.5,0.0005067,0.0002324,-0.0002324
181.0,180.5,181.5,0.0004976,0.0002299,-0.0002299
182.0,181.5,182.5,0.0004847,0.0002242,-0.0002242
183.0,182.5,183.5,0.0004665,0.0002176,-0.0002176
184.0,183.5,184.5,0.0004483,0.0002101,-0.0002101
185.0,184.5,185.5,0.0004363,0.0002056,-0.0002056
186.0,185.5,186.5,0.0004259,0.0002029,-0.0002029
187.0,186.5,187.5,0.0004135,0.000197,-0.000197
188.0,187.5,188.5,0.0004001,0.0001921,-0.0001921
189.0,188.5,189.5,0.0003866,0.0001862,-0.0001862
190.0,189.5,190.5,0.0003781,0.0001826,-0.0001826
191.0,190.5,191.5,0.0003632,0.0001763,-0.0001763
192.0,191.5,192.5,0.0003556,0.0001747,-0.0001747
193.0,192.5,193.5,0.0003447,0.0001705,-0.0001705
194.0,193.5,194.5,0.0003344,0.0001659,-0.0001659
195.0,194.5,195.5,0.000322,0.0001601,-0.0001601
196.0,195.5,196.5,0.000316,0.0001585,-0.0001585
197.0,196.5,197.5,0.0003068,0.0001538,-0.0001538
198.0,197.5,198.5,0.0002952,0.0001492,-0.0001492
199.0,198.5,199.5,0.0002888,0.0001466,-0.0001466
200.0,199.5,200.5,0.0002767,0.0001412,-0.0001412
201.0,200.5,201.5,0.0002722,0.00014,-0.00014
202.0,201.5,202.5,0.0002614,0.0001355,-0.0001355
203.0,202.5,203.5,0.0002549,0.0001328,-0.0001328
204.0,203.5,204.5,0.0002458,0.0001287,-0.0001287
205.0,204.5,205.5,0.0002388,0.0001255,-0.0001255
206.0,205.5,206.5,0.0002325,0.0001232,-0.0001232
207.0,206.5,207.5,0.000226,0.0001196,-0.0001196
208.0,207.5,208.5,0.0002185,0.0001165,-0.0001165
209.0,208.5,209.5,0.0002116,0.0001139,-0.0001139
210.0,209.5,210.5,0.0002037,0.0001104,-0.0001104
211.0,210.5,211.5,0.000197,0.000107,-0.000107
212.0,211.5,212.5,0.0001919,0.0001049,-0.0001049
213.0,212.5,213.5,0.0001844,0.0001011,-0.0001011
214.0,213.5,214.5,0.0001781,9.851e-05,-9.851e-05
215.0,214.5,215.5,0.0001729,9.597e-05,-9.597e-05
216.0,215.5,216.5,0.0001685,9.424e-05,-9.424e-05
217.0,216.5,217.5,0.0001637,9.25e-05,-9.25e-05
218.0,217.5,218.5,0.0001571,8.928e-05,-8.928e-05
219.0,218.5,219.5,0.0001534,8.797e-05,-8.797e-05
220.0,219.5,220.5,0.0001482,8.517e-05,-8.517e-05
221.0,220.5,221.5,0.0001428,8.276e-05,-8.276e-05
222.0,221.5,222.5,0.0001373,7.939e-05,-7.939e-05
223.0,222.5,223.5,0.0001332,7.786e-05,-7.786e-05
224.0,223.5,224.5,0.0001291,7.577e-05,-7.577e-05
225.0,224.5,225.5,0.0001249,7.376e-05,-7.376e-05
226.0,225.5,226.5,0.0001211,7.252e-05,-7.252e-05
227.0,226.5,227.5,0.0001153,6.897e-05,-6.897e-05
228.0,227.5,228.5,0.0001121,6.709e-05,-6.709e-05
229.0,228.5,229.5,0.0001081,6.525e-05,-6.525e-05
230.0,229.5,230.5,0.0001056,6.433e-05,-6.433e-05
231.0,230.5,231.5,0.0001022,6.285e-05,-6.285e-05
232.0,231.5,232.5,9.733e-05,5.99e-05,-5.99e-05
233.0,232.5,233.5,9.448e-05,5.831e-05,-5.831e-05
234.0,233.5,234.5,8.927e-05,5.577e-05,-5.577e-05
235.0,234.5,235.5,8.664e-05,5.378e-05,-5.378e-05
236.0,235.5,236.5,8.427e-05,5.323e-05,-5.323e-05
237.0,236.5,237.5,8.064e-05,5.094e-05,-5.094e-05
238.0,237.5,238.5,7.83e-05,4.923e-05,-4.923e-05
239.0,238.5,239.5,7.516e-05,4.776e-05,-4.776e-05

