#: table_doi: 10.17182/hepdata.78802.v1/t45
#: name: Table 45
#: description: Multiplicity distribution in the pseudorapidity region -3.4 to 5.0 for INEL>0 collisions at a centre-of-mass energy of 8000 GeV.
#: data_file: Table45.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 8000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.4-5.0
#: SQRT(S) [GeV],,,8000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
1.0,0.5,1.5,0.0269,0.0122,-0.0122
2.0,1.5,2.5,0.02621,0.0124,-0.0124
3.0,2.5,3.5,0.01208,0.005139,-0.005139
4.0,3.5,4.5,0.009097,0.003235,-0.003235
5.0,4.5,5.5,0.008378,0.002498,-0.002498
6.0,5.5,6.5,0.008547,0.002022,-0.002022
7.0,6.5,7.5,0.009302,0.001852,-0.001852
8.0,7.5,8.5,0.009974,0.001674,-0.001674
9.0,8.5,9.5,0.01109,0.001695,-0.001695
10.0,9.5,10.5,0.01223,0.001722,-0.001722
11.0,10.5,11.5,0.01365,0.001796,-0.001796
12.0,11.5,12.5,0.0147,0.001855,-0.001855
13.0,12.5,13.5,0.0155,0.001927,-0.001927
14.0,13.5,14.5,0.01638,0.001983,-0.001983
15.0,14.5,15.5,0.01679,0.001931,-0.001931
16.0,15.5,16.5,0.01693,0.001802,-0.001802
17.0,16.5,17.5,0.01719,0.001664,-0.001664
18.0,17.5,18.5,0.01701,0.001528,-0.001528
19.0,18.5,19.5,0.01688,0.00142,-0.00142
20.0,19.5,20.5,0.01641,0.001292,-0.001292
21.0,20.5,21.5,0.0161,0.001168,-0.001168
22.0,21.5,22.5,0.01557,0.0009727,-0.0009727
23.0,22.5,23.5,0.01513,0.0008007,-0.0008007
24.0,23.5,24.5,0.01457,0.0006453,-0.0006453
25.0,24.5,25.5,0.01407,0.0005558,-0.0005558
26.0,25.5,26.5,0.01344,0.0005095,-0.0005095
27.0,26.5,27.5,0.01309,0.0004879,-0.0004879
28.0,27.5,28.5,0.01271,0.0004184,-0.0004184
29.0,28.5,29.5,0.01228,0.0004078,-0.0004078
30.0,29.5,30.5,0.01186,0.0003087,-0.0003087
31.0,30.5,31.5,0.01159,0.0003426,-0.0003426
32.0,31.5,32.5,0.01122,0.0002716,-0.0002716
33.0,32.5,33.5,0.01107,0.0002998,-0.0002998
34.0,33.5,34.5,0.0107,0.0002657,-0.0002657
35.0,34.5,35.5,0.01038,0.0003216,-0.0003216
36.0,35.5,36.5,0.01022,0.0003615,-0.0003615
37.0,36.5,37.5,0.01019,0.0003977,-0.0003977
