#: table_doi: 10.17182/hepdata.78802.v1/t39
#: name: Table 39
#: description: Multiplicity distribution in the pseudorapidity region -3.4 to 3.4 for INEL>0 collisions at a centre-of-mass energy of 7000 GeV.
#: data_file: Table39.yaml
#: keyword observables: MULT
#: keyword reactions: P P --> CHARGED X
#: keyword cmenergies: 7000
#: keyword phrases: Charged particle multiplicity | Forward rapidity
#: RE,,,P P --> CHARGED X
#: ETARAP(P=5),,,-3.4-3.4
#: SQRT(S) [GeV],,,7000.0
'$N_{ch}$','$N_{ch}$ LOW','$N_{ch}$ HIGH','$P(N_{ch})$','error +','error -'
1.0,0.5,1.5,0.01861,0.01059,-0.01059
2.0,1.5,2.5,0.01422,0.006466,-0.006466
3.0,2.5,3.5,0.01086,0.003691,-0.003691
4.0,3.5,4.5,0.009828,0.002553,-0.002553
5.0,4.5,5.5,0.01035,0.001923,-0.001923
6.0,5.5,6.5,0.01143,0.001605,-0.001605
7.0,6.5,7.5,0.01306,0.001392,-0.001392
8.0,7.5,8.5,0.01466,0.001335,-0.001335
9.0,8.5,9.5,0.01651,0.001642,-0.001642
10.0,9.5,10.5,0.01774,0.002035,-0.002035
11.0,10.5,11.5,0.01909,0.002199,-0.002199
12.0,11.5,12.5,0.0199,0.002209,-0.002209
13.0,12.5,13.5,0.02047,0.002371,-0.002371
14.0,13.5,14.5,0.02073,0.002149,-0.002149
15.0,14.5,15.5,0.02059,0.002013,-0.002013
16.0,15.5,16.5,0.02048,0.001815,-0.001815
17.0,16.5,17.5,0.01988,0.001739,-0.001739
18.0,17.5,18.5,0.01917,0.001406,-0.001406
19.0,18.5,19.5,0.01853,0.001406,-0.001406
20.0,19.5,20.5,0.01765,0.001215,-0.001215
21.0,20.5,21.5,0.01682,0.001079,-0.001079
22.0,21.5,22.5,0.01617,0.0009227,-0.0009227
23.0,22.5,23.5,0.01541,0.0008976,-0.0008976
24.0,23.5,24.5,0.01485,0.0008434,-0.0008434
25.0,24.5,25.5,0.01428,0.0007802,-0.0007802
26.0,25.5,26.5,0.01385,0.0007406,-0.0007406
27.0,26.5,27.5,0.01343,0.0006904,-0.0006904
28.0,27.5,28.5,0.0132,0.0007531,-0.0007531
29.0,28.5,29.5,0.0128,0.0007104,-0.0007104
30.0,29.5,30.5,0.01267,0.0007053,-0.0007053
31.0,30.5,31.5,0.01234,0.0006777,-0.0006777
32.0,31.5,32.5,0.01208,0.0006207,-0.0006207
33.0,32.5,33.5,0.01181,0.0006595,-0.0006595
34.0,33.5,34.5,0.01166,0.0007066,-0.0007066
35.0,34.5,35.5,0.01132,0.0005979,-0.0005979
36.0,35.5,36.5,0.01118,0.0006503,-0.0006503
37.0,36.5,37.5,0.01084,0.0005292,-0.0005292
38.0,37.5,38.5,0.01064,0.0004952,-0.0004952
39.0,38.5,39.5,0.01029,0.0005684,-0.0005684
40.0,39.5,40.5,0.01021,0.000497,-0.000497
41.0,40.5,41.5,0.009766,0.0004351,-0.0004351
42.0,41.5,42.5,0.009729,0.0005893,-0.0005893
43.0,42.5,43.5,0.009266,0.0005478,-0.0005478
44.0,43.5,44.5,0.009083,0.0006069,-0.0006069
45.0,44.5,45.5,0.008836,0.0005561,-0.0005561
46.0,45.5,46.5,0.008596,0.0005128,-0.0005128
47.0,46.5,47.5,0.008386,0.0005334,-0.0005334
48.0,47.5,48.5,0.008238,0.0004783,-0.0004783
49.0,48.5,49.5,0.008081,0.0005796,-0.0005796
50.0,49.5,50.5,0.00791,0.0004874,-0.0004874
51.0,50.5,51.5,0.007708,0.0005169,-0.0005169
52.0,51.5,52.5,0.007594,0.0005853,-0.0005853
53.0,52.5,53.5,0.007428,0.0005316,-0.0005316
54.0,53.5,54.5,0.007179,0.0005624,-0.0005624
55.0,54.5,55.5,0.007095,0.0006053,-0.0006053
56.0,55.5,56.5,0.006984,0.0005794,-0.0005794
57.0,56.5,57.5,0.00678,0.0006082,-0.0006082
58.0,57.5,58.5,0.006631,0.0005919,-0.0005919
59.0,58.5,59.5,0.006579,0.0005997,-0.0005997
60.0,59.5,60.5,0.006474,0.0006371,-0.0006371
61.0,60.5,61.5,0.00629,0.0005966,-0.0005966
62.0,61.5,62.5,0.006162,0.0006102,-0.0006102
63.0,62.5,63.5,0.006098,0.000672,-0.000672
64.0,63.5,64.5,0.005967,0.0006227,-0.0006227
65.0,64.5,65.5,0.00578,0.0006135,-0.0006135
66.0,65.5,66.5,0.005714,0.0006436,-0.0006436
67.0,66.5,67.5,0.005535,0.000642,-0.000642
68.0,67.5,68.5,0.005402,0.0006528,-0.0006528
69.0,68.5,69.5,0.005335,0.0006646,-0.0006646
70.0,69.5,70.5,0.005211,0.0006499,-0.0006499
71.0,70.5,71.5,0.005078,0.0006683,-0.0006683
72.0,71.5,72.5,0.005009,0.0006719,-0.0006719
73.0,72.5,73.5,0.004877,0.000655,-0.000655
74.0,73.5,74.5,0.004754,0.0006839,-0.0006839
75.0,74.5,75.5,0.004599,0.0006483,-0.0006483
76.0,75.5,76.5,0.004503,0.0006369,-0.0006369
77.0,76.5,77.5,0.004434,0.0006679,-0.0006679
78.0,77.5,78.5,0.004348,0.0006719,-0.0006719
79.0,78.5,79.5,0.004237,0.0006497,-0.0006497
80.0,79.5,80.5,0.004127,0.0006492,-0.0006492
81.0,80.5,81.5,0.004047,0.0006487,-0.0006487
82.0,81.5,82.5,0.00398,0.0006251,-0.0006251
83.0,82.5,83.5,0.003869,0.0006276,-0.0006276
84.0,83.5,84.5,0.003759,0.0006138,-0.0006138
85.0,84.5,85.5,0.003686,0.0005985,-0.0005985
86.0,85.5,86.5,0.003624,0.000626,-0.000626
87.0,86.5,87.5,0.00351,0.0006118,-0.0006118
88.0,87.5,88.5,0.003454,0.0006133,-0.0006133
89.0,88.5,89.5,0.003333,0.0005916,-0.0005916
90.0,89.5,90.5,0.003272,0.0005936,-0.0005936
91.0,90.5,91.5,0.00321,0.0005895,-0.0005895
92.0,91.5,92.5,0.003136,0.0005795,-0.0005795
93.0,92.5,93.5,0.00302,0.0005675,-0.0005675
94.0,93.5,94.5,0.002961,0.0005712,-0.0005712
95.0,94.5,95.5,0.002894,0.000565,-0.000565
96.0,95.5,96.5,0.002824,0.0005653,-0.0005653
97.0,96.5,97.5,0.002752,0.0005493,-0.0005493
98.0,97.5,98.5,0.002695,0.0005442,-0.0005442
99.0,98.5,99.5,0.002634,0.0005355,-0.0005355
100.0,99.5,100.5,0.002542,0.0005308,-0.0005308
101.0,100.5,101.5,0.002491,0.0005386,-0.0005386
